r,cm	e	O+	O2+	O3+	O4+	O-	O2-	O3-	O4-	O2[a]	O2[b]	O2[Hz]	O	O[1D]	O[1S]	O3	O2	Charge
1.32e-010	1.55e-013	8.04e-010	8.03e-242	8.33e-008	6.04e-009	1.85e-008	5.94e-008	2.23e-241	2.32e-004	1.28e-004	3.91e-007	7.97e-004	1.74e-009	8.60e-009	1.76e-004	9.99e-001	
1.39e-010	1.68e-013	8.50e-010	1.11e-244	8.49e-008	6.33e-009	1.89e-008	6.04e-008	3.12e-244	2.37e-004	1.30e-004	4.11e-007	8.15e-004	1.84e-009	9.03e-009	1.77e-004	9.99e-001	
1.47e-010	1.81e-013	8.98e-010	1.52e-247	8.65e-008	6.62e-009	1.93e-008	6.13e-008	4.30e-247	2.42e-004	1.32e-004	4.33e-007	8.34e-004	1.94e-009	9.47e-009	1.79e-004	9.99e-001	
1.55e-010	1.96e-013	9.49e-010	2.06e-250	8.82e-008	6.93e-009	1.97e-008	6.23e-008	5.87e-250	2.47e-004	1.35e-004	4.55e-007	8.54e-004	2.05e-009	9.94e-009	1.81e-004	9.99e-001	
1.63e-010	2.11e-013	1.00e-009	2.76e-253	8.98e-008	7.26e-009	2.01e-008	6.33e-008	7.93e-253	2.53e-004	1.37e-004	4.79e-007	8.73e-004	2.16e-009	1.04e-008	1.82e-004	9.99e-001	
1.72e-010	2.28e-013	1.06e-009	3.65e-256	9.16e-008	7.59e-009	2.06e-008	6.43e-008	1.06e-255	2.58e-004	1.40e-004	5.04e-007	8.94e-004	2.28e-009	1.09e-008	1.84e-004	9.99e-001	
1.81e-010	2.47e-013	1.12e-009	4.78e-259	9.33e-008	7.95e-009	2.10e-008	6.53e-008	1.40e-258	2.64e-004	1.42e-004	5.30e-007	9.14e-004	2.41e-009	1.15e-008	1.86e-004	9.98e-001	
1.90e-010	2.66e-013	1.19e-009	6.19e-262	9.51e-008	8.32e-009	2.14e-008	6.63e-008	1.82e-261	2.69e-004	1.45e-004	5.58e-007	9.36e-004	2.54e-009	1.20e-008	1.87e-004	9.98e-001	
2.00e-010	2.88e-013	1.25e-009	7.94e-265	9.69e-008	8.70e-009	2.19e-008	6.73e-008	2.36e-264	2.75e-004	1.47e-004	5.87e-007	9.57e-004	2.68e-009	1.26e-008	1.89e-004	9.98e-001	
2.11e-010	3.11e-013	1.33e-009	1.01e-267	9.88e-008	9.11e-009	2.24e-008	6.84e-008	3.02e-267	2.81e-004	1.50e-004	6.18e-007	9.80e-004	2.83e-009	1.32e-008	1.91e-004	9.98e-001	
2.22e-010	3.36e-013	1.40e-009	1.27e-270	1.01e-007	9.53e-009	2.28e-008	6.95e-008	3.82e-270	2.87e-004	1.53e-004	6.51e-007	1.00e-003	2.99e-009	1.39e-008	1.92e-004	9.98e-001	
2.34e-010	3.63e-013	1.48e-009	1.58e-273	1.03e-007	9.98e-009	2.33e-008	7.06e-008	4.78e-273	2.93e-004	1.56e-004	6.85e-007	1.03e-003	3.15e-009	1.46e-008	1.94e-004	9.98e-001	
2.46e-010	3.93e-013	1.57e-009	1.94e-276	1.05e-007	1.04e-008	2.38e-008	7.17e-008	5.93e-276	3.00e-004	1.59e-004	7.21e-007	1.05e-003	3.32e-009	1.53e-008	1.95e-004	9.98e-001	
2.59e-010	4.26e-013	1.66e-009	2.37e-279	1.07e-007	1.09e-008	2.43e-008	7.29e-008	7.28e-279	3.06e-004	1.63e-004	7.60e-007	1.08e-003	3.51e-009	1.60e-008	1.97e-004	9.98e-001	
2.72e-010	4.61e-013	1.76e-009	2.86e-282	1.09e-007	1.15e-008	2.48e-008	7.40e-008	8.86e-282	3.13e-004	1.66e-004	8.01e-007	1.10e-003	3.71e-009	1.68e-008	1.98e-004	9.98e-001	
2.87e-010	4.99e-013	1.86e-009	3.42e-285	1.11e-007	1.20e-008	2.53e-008	7.52e-008	1.07e-284	3.20e-004	1.70e-004	8.44e-007	1.13e-003	3.91e-009	1.77e-008	2.00e-004	9.98e-001	
3.02e-010	5.42e-013	1.98e-009	4.06e-288	1.13e-007	1.26e-008	2.59e-008	7.65e-008	1.27e-287	3.27e-004	1.73e-004	8.90e-007	1.16e-003	4.13e-009	1.86e-008	2.01e-004	9.98e-001	
3.18e-010	5.88e-013	2.10e-009	4.77e-291	1.16e-007	1.32e-008	2.64e-008	7.78e-008	1.51e-290	3.35e-004	1.77e-004	9.40e-007	1.18e-003	4.37e-009	1.95e-008	2.03e-004	9.98e-001	
3.34e-010	6.39e-013	2.23e-009	5.56e-294	1.18e-007	1.38e-008	2.70e-008	7.91e-008	1.76e-293	3.42e-004	1.81e-004	9.93e-007	1.21e-003	4.62e-009	2.05e-008	2.04e-004	9.98e-001	
3.52e-010	6.96e-013	2.37e-009	5.22e-295	1.21e-007	1.45e-008	2.76e-008	8.04e-008	1.70e-295	3.50e-004	1.86e-004	1.05e-006	1.25e-003	4.89e-009	2.16e-008	2.06e-004	9.98e-001	
3.71e-010	7.59e-013	2.52e-009	5.19e-292	1.23e-007	1.53e-008	2.82e-008	8.18e-008	1.43e-292	3.59e-004	1.90e-004	1.11e-006	1.28e-003	5.18e-009	2.28e-008	2.07e-004	9.98e-001	
3.91e-010	8.29e-013	2.69e-009	5.16e-289	1.26e-007	1.61e-008	2.88e-008	8.33e-008	1.34e-289	3.68e-004	1.95e-004	1.18e-006	1.31e-003	5.50e-009	2.40e-008	2.09e-004	9.98e-001	
4.12e-010	9.07e-013	2.87e-009	5.09e-286	1.29e-007	1.69e-008	2.95e-008	8.48e-008	1.25e-286	3.77e-004	2.00e-004	1.25e-006	1.35e-003	5.84e-009	2.54e-008	2.10e-004	9.98e-001	
4.34e-010	9.96e-013	3.07e-009	4.96e-283	1.32e-007	1.79e-008	3.02e-008	8.63e-008	1.15e-283	3.86e-004	2.05e-004	1.33e-006	1.38e-003	6.22e-009	2.69e-008	2.12e-004	9.98e-001	
4.58e-010	1.10e-012	3.29e-009	4.78e-280	1.35e-007	1.89e-008	3.09e-008	8.79e-008	1.05e-280	3.96e-004	2.11e-004	1.42e-006	1.42e-003	6.63e-009	2.85e-008	2.13e-004	9.98e-001	
4.83e-010	1.21e-012	3.54e-009	4.56e-277	1.38e-007	1.99e-008	3.16e-008	8.96e-008	9.50e-278	4.07e-004	2.17e-004	1.52e-006	1.46e-003	7.08e-009	3.03e-008	2.14e-004	9.98e-001	
5.09e-010	1.34e-012	3.82e-009	4.30e-274	1.41e-007	2.11e-008	3.24e-008	9.14e-008	8.46e-275	4.18e-004	2.24e-004	1.62e-006	1.51e-003	7.59e-009	3.23e-008	2.16e-004	9.98e-001	
5.38e-010	1.50e-012	4.13e-009	4.00e-271	1.45e-007	2.24e-008	3.32e-008	9.32e-008	7.46e-272	4.30e-004	2.31e-004	1.74e-006	1.55e-003	8.14e-009	3.45e-008	2.17e-004	9.98e-001	
5.69e-010	1.67e-012	4.48e-009	3.69e-268	1.49e-007	2.38e-008	3.40e-008	9.52e-008	6.50e-269	4.42e-004	2.38e-004	1.87e-006	1.60e-003	8.76e-009	3.69e-008	2.18e-004	9.98e-001	
6.02e-010	1.88e-012	4.87e-009	3.36e-265	1.53e-007	2.53e-008	3.48e-008	9.72e-008	5.59e-266	4.55e-004	2.46e-004	2.02e-006	1.65e-003	9.46e-009	3.96e-008	2.19e-004	9.97e-001	
6.39e-010	2.13e-012	5.31e-009	3.02e-262	1.57e-007	2.69e-008	3.58e-008	9.94e-008	4.75e-263	4.69e-004	2.55e-004	2.18e-006	1.70e-003	1.02e-008	4.26e-008	2.20e-004	9.97e-001	
6.78e-010	2.41e-012	5.81e-009	2.68e-259	1.62e-007	2.87e-008	3.67e-008	1.02e-007	3.99e-260	4.84e-004	2.64e-004	2.35e-006	1.76e-003	1.11e-008	4.59e-008	2.21e-004	9.97e-001	
7.21e-010	2.73e-012	6.38e-009	2.35e-256	1.66e-007	3.07e-008	3.77e-008	1.04e-007	3.31e-257	4.99e-004	2.74e-004	2.55e-006	1.82e-003	1.21e-008	4.95e-008	2.22e-004	9.97e-001	
7.69e-010	3.11e-012	7.01e-009	2.03e-253	1.72e-007	3.29e-008	3.87e-008	1.06e-007	2.71e-254	5.15e-004	2.85e-004	2.77e-006	1.88e-003	1.31e-008	5.36e-008	2.23e-004	9.97e-001	
8.23e-010	3.56e-012	7.72e-009	1.73e-250	1.77e-007	3.52e-008	3.98e-008	1.09e-007	2.19e-251	5.33e-004	2.97e-004	3.01e-006	1.94e-003	1.43e-008	5.79e-008	2.24e-004	9.97e-001	
8.83e-010	4.07e-012	8.52e-009	1.46e-247	1.83e-007	3.78e-008	4.10e-008	1.12e-007	1.75e-248	5.51e-004	3.09e-004	3.27e-006	2.01e-003	1.56e-008	6.27e-008	2.25e-004	9.97e-001	
9.51e-010	4.68e-012	9.41e-009	1.21e-244	1.89e-007	4.05e-008	4.22e-008	1.14e-007	1.38e-245	5.71e-004	3.23e-004	3.56e-006	2.09e-003	1.70e-008	6.78e-008	2.26e-004	9.97e-001	
1.03e-009	5.35e-012	1.04e-008	9.89e-242	1.95e-007	4.35e-008	4.34e-008	1.17e-007	1.07e-242	5.91e-004	3.37e-004	3.88e-006	2.16e-003	1.85e-008	7.32e-008	2.27e-004	9.97e-001	
1.11e-009	6.12e-012	1.14e-008	7.97e-239	2.02e-007	4.68e-008	4.47e-008	1.20e-007	8.17e-240	6.13e-004	3.52e-004	4.23e-006	2.24e-003	2.01e-008	7.90e-008	2.27e-004	9.97e-001	
1.21e-009	6.98e-012	1.26e-008	6.32e-236	2.09e-007	5.02e-008	4.60e-008	1.23e-007	6.17e-237	6.36e-004	3.68e-004	4.60e-006	2.33e-003	2.18e-008	8.50e-008	2.28e-004	9.96e-001	
1.32e-009	7.92e-012	1.38e-008	4.94e-233	2.17e-007	5.40e-008	4.74e-008	1.27e-007	4.59e-234	6.59e-004	3.85e-004	5.01e-006	2.42e-003	2.35e-008	9.12e-008	2.28e-004	9.96e-001	
1.45e-009	8.97e-012	1.51e-008	3.80e-230	2.24e-007	5.79e-008	4.89e-008	1.30e-007	3.37e-231	6.84e-004	4.03e-004	5.44e-006	2.51e-003	2.53e-008	9.75e-008	2.28e-004	9.96e-001	
1.59e-009	1.01e-011	1.65e-008	2.87e-227	2.32e-007	6.21e-008	5.04e-008	1.33e-007	2.43e-228	7.10e-004	4.21e-004	5.90e-006	2.61e-003	2.72e-008	1.04e-007	2.28e-004	9.96e-001	
1.75e-009	1.14e-011	1.80e-008	2.14e-224	2.41e-007	6.65e-008	5.19e-008	1.36e-007	1.73e-225	7.37e-004	4.41e-004	6.39e-006	2.70e-003	2.90e-008	1.10e-007	2.28e-004	9.96e-001	
1.94e-009	1.27e-011	1.95e-008	1.56e-221	2.49e-007	7.12e-008	5.34e-008	1.40e-007	1.21e-222	7.66e-004	4.61e-004	6.90e-006	2.81e-003	3.09e-008	1.17e-007	2.28e-004	9.96e-001	
2.15e-009	1.41e-011	2.10e-008	1.12e-218	2.58e-007	7.60e-008	5.50e-008	1.43e-007	8.35e-220	7.94e-004	4.82e-004	7.44e-006	2.91e-003	3.27e-008	1.23e-007	2.28e-004	9.96e-001	
2.38e-009	1.56e-011	2.26e-008	7.92e-216	2.66e-007	8.10e-008	5.66e-008	1.46e-007	5.67e-217	8.24e-004	5.04e-004	8.00e-006	3.02e-003	3.45e-008	1.29e-007	2.28e-004	9.95e-001	
2.63e-009	1.71e-011	2.42e-008	5.49e-213	2.75e-007	8.61e-008	5.82e-008	1.50e-007	3.78e-214	8.55e-004	5.26e-004	8.57e-006	3.13e-003	3.61e-008	1.35e-007	2.27e-004	9.95e-001	
2.92e-009	1.87e-011	2.59e-008	3.73e-210	2.84e-007	9.14e-008	5.98e-008	1.53e-007	2.48e-211	8.86e-004	5.48e-004	9.15e-006	3.23e-003	3.77e-008	1.40e-007	2.27e-004	9.95e-001	
3.23e-009	2.04e-011	2.75e-008	2.49e-207	2.93e-007	9.67e-008	6.13e-008	1.56e-007	1.60e-208	9.17e-004	5.71e-004	9.75e-006	3.35e-003	3.92e-008	1.45e-007	2.26e-004	9.95e-001	
3.57e-009	2.20e-011	2.91e-008	1.63e-204	3.02e-007	1.02e-007	6.29e-008	1.59e-007	1.02e-205	9.49e-004	5.94e-004	1.03e-005	3.46e-003	4.04e-008	1.50e-007	2.25e-004	9.95e-001	
3.93e-009	2.36e-011	3.07e-008	1.05e-201	3.10e-007	1.08e-007	6.44e-008	1.62e-007	6.37e-203	9.81e-004	6.17e-004	1.09e-005	3.57e-003	4.15e-008	1.54e-007	2.25e-004	9.95e-001	
4.33e-009	2.53e-011	3.23e-008	6.59e-199	3.19e-007	1.13e-007	6.59e-008	1.65e-007	3.91e-200	1.01e-003	6.40e-004	1.16e-005	3.68e-003	4.25e-008	1.58e-007	2.24e-004	9.94e-001	
4.77e-009	2.69e-011	3.38e-008	4.06e-196	3.27e-007	1.18e-007	6.73e-008	1.67e-007	2.36e-197	1.05e-003	6.62e-004	1.21e-005	3.78e-003	4.32e-008	1.60e-007	2.23e-004	9.94e-001	
5.20e-009	2.84e-011	3.53e-008	2.46e-193	3.35e-007	1.24e-007	6.87e-008	1.70e-007	1.40e-194	1.08e-003	6.85e-004	1.27e-005	3.89e-003	4.36e-008	1.63e-007	2.22e-004	9.94e-001	
5.65e-009	3.00e-011	3.67e-008	1.45e-190	3.43e-007	1.29e-007	7.01e-008	1.72e-007	8.16e-192	1.11e-003	7.06e-004	1.33e-005	3.99e-003	4.39e-008	1.65e-007	2.21e-004	9.94e-001	
6.14e-009	3.15e-011	3.81e-008	8.43e-188	3.51e-007	1.34e-007	7.14e-008	1.74e-007	4.67e-189	1.14e-003	7.28e-004	1.39e-005	4.09e-003	4.41e-008	1.66e-007	2.20e-004	9.94e-001	
6.64e-009	3.28e-011	3.94e-008	4.79e-185	3.58e-007	1.39e-007	7.26e-008	1.76e-007	2.63e-186	1.17e-003	7.48e-004	1.44e-005	4.19e-003	4.40e-008	1.67e-007	2.19e-004	9.94e-001	
7.14e-009	3.42e-011	4.06e-008	2.66e-182	3.65e-007	1.44e-007	7.37e-008	1.78e-007	1.45e-183	1.20e-003	7.68e-004	1.49e-005	4.28e-003	4.39e-008	1.68e-007	2.18e-004	9.94e-001	
7.64e-009	3.53e-011	4.18e-008	1.45e-179	3.72e-007	1.48e-007	7.48e-008	1.80e-007	7.90e-181	1.23e-003	7.87e-004	1.54e-005	4.37e-003	4.36e-008	1.68e-007	2.17e-004	9.93e-001	
8.12e-009	3.62e-011	4.27e-008	7.71e-177	3.78e-007	1.53e-007	7.58e-008	1.82e-007	4.21e-178	1.26e-003	8.05e-004	1.59e-005	4.46e-003	4.32e-008	1.67e-007	2.16e-004	9.93e-001	
8.60e-009	3.73e-011	4.37e-008	4.02e-174	3.84e-007	1.57e-007	7.67e-008	1.83e-007	2.21e-175	1.28e-003	8.22e-004	1.63e-005	4.54e-003	4.29e-008	1.67e-007	2.15e-004	9.93e-001	
9.08e-009	3.82e-011	4.46e-008	2.05e-171	3.90e-007	1.61e-007	7.76e-008	1.85e-007	1.14e-172	1.31e-003	8.38e-004	1.68e-005	4.61e-003	4.25e-008	1.66e-007	2.15e-004	9.93e-001	
9.53e-009	3.89e-011	4.54e-008	1.02e-168	3.95e-007	1.64e-007	7.84e-008	1.86e-007	5.75e-170	1.33e-003	8.53e-004	1.71e-005	4.68e-003	4.21e-008	1.64e-007	2.14e-004	9.93e-001	
9.96e-009	3.96e-011	4.61e-008	5.01e-166	4.00e-007	1.68e-007	7.91e-008	1.87e-007	2.86e-167	1.35e-003	8.66e-004	1.75e-005	4.74e-003	4.18e-008	1.63e-007	2.13e-004	9.93e-001	
1.04e-008	4.01e-011	4.68e-008	2.39e-163	4.04e-007	1.71e-007	7.98e-008	1.88e-007	1.40e-164	1.37e-003	8.78e-004	1.78e-005	4.79e-003	4.15e-008	1.62e-007	2.12e-004	9.93e-001	
1.07e-008	4.05e-011	4.73e-008	1.12e-160	4.08e-007	1.73e-007	8.03e-008	1.89e-007	6.70e-162	1.38e-003	8.89e-004	1.81e-005	4.84e-003	4.15e-008	1.60e-007	2.12e-004	9.93e-001	
1.11e-008	4.09e-011	4.77e-008	5.12e-158	4.11e-007	1.76e-007	8.08e-008	1.90e-007	3.16e-159	1.40e-003	8.98e-004	1.83e-005	4.88e-003	4.12e-008	1.59e-007	2.11e-004	9.93e-001	
1.14e-008	4.12e-011	4.81e-008	2.29e-155	4.14e-007	1.77e-007	8.12e-008	1.90e-007	1.46e-156	1.41e-003	9.06e-004	1.85e-005	4.91e-003	4.11e-008	1.58e-007	2.11e-004	9.93e-001	
1.16e-008	4.13e-011	4.84e-008	1.00e-152	4.16e-007	1.79e-007	8.16e-008	1.91e-007	6.64e-154	1.42e-003	9.12e-004	1.87e-005	4.94e-003	4.10e-008	1.56e-007	2.10e-004	9.92e-001	
1.18e-008	4.13e-011	4.85e-008	4.30e-150	4.18e-007	1.80e-007	8.19e-008	1.91e-007	2.97e-151	1.43e-003	9.16e-004	1.88e-005	4.96e-003	4.08e-008	1.55e-007	2.10e-004	9.92e-001	
1.20e-008	4.12e-011	4.86e-008	1.80e-147	4.19e-007	1.81e-007	8.21e-008	1.92e-007	1.30e-148	1.43e-003	9.19e-004	1.89e-005	4.96e-003	4.08e-008	1.54e-007	2.09e-004	9.92e-001	
1.21e-008	4.10e-011	4.86e-008	7.39e-145	4.19e-007	1.81e-007	8.22e-008	1.92e-007	5.62e-146	1.43e-003	9.20e-004	1.89e-005	4.97e-003	4.07e-008	1.53e-007	2.09e-004	9.92e-001	
1.22e-008	4.07e-011	4.85e-008	2.96e-142	4.20e-007	1.81e-007	8.22e-008	1.92e-007	2.38e-143	1.43e-003	9.20e-004	1.89e-005	4.96e-003	4.04e-008	1.52e-007	2.09e-004	9.92e-001	
1.23e-008	4.03e-011	4.83e-008	1.16e-139	4.19e-007	1.80e-007	8.22e-008	1.92e-007	9.91e-141	1.43e-003	9.17e-004	1.88e-005	4.94e-003	4.02e-008	1.51e-007	2.09e-004	9.92e-001	
1.23e-008	3.99e-011	4.79e-008	4.47e-137	4.18e-007	1.79e-007	8.20e-008	1.92e-007	4.05e-138	1.42e-003	9.13e-004	1.87e-005	4.91e-003	3.99e-008	1.50e-007	2.09e-004	9.93e-001	
1.22e-008	3.92e-011	4.75e-008	1.68e-134	4.16e-007	1.77e-007	8.18e-008	1.92e-007	1.63e-135	1.41e-003	9.06e-004	1.85e-005	4.87e-003	3.95e-008	1.50e-007	2.09e-004	9.93e-001	
1.22e-008	3.84e-011	4.70e-008	6.17e-132	4.13e-007	1.75e-007	8.15e-008	1.91e-007	6.43e-133	1.39e-003	8.97e-004	1.83e-005	4.82e-003	3.91e-008	1.49e-007	2.09e-004	9.93e-001	
1.21e-008	3.75e-011	4.63e-008	2.22e-129	4.10e-007	1.73e-007	8.10e-008	1.91e-007	2.49e-130	1.37e-003	8.86e-004	1.80e-005	4.76e-003	3.85e-008	1.48e-007	2.10e-004	9.93e-001	
1.19e-008	3.66e-011	4.56e-008	7.82e-127	4.06e-007	1.69e-007	8.05e-008	1.90e-007	9.50e-128	1.35e-003	8.73e-004	1.77e-005	4.69e-003	3.78e-008	1.48e-007	2.10e-004	9.93e-001	
1.17e-008	3.56e-011	4.48e-008	2.70e-124	4.02e-007	1.65e-007	7.98e-008	1.89e-007	3.56e-125	1.32e-003	8.57e-004	1.73e-005	4.61e-003	3.69e-008	1.47e-007	2.11e-004	9.93e-001	
1.15e-008	3.43e-011	4.37e-008	9.10e-122	3.96e-007	1.61e-007	7.90e-008	1.88e-007	1.31e-122	1.30e-003	8.39e-004	1.68e-005	4.51e-003	3.59e-008	1.46e-007	2.11e-004	9.93e-001	
1.12e-008	3.32e-011	4.26e-008	3.01e-119	3.89e-007	1.56e-007	7.80e-008	1.87e-007	4.72e-120	1.26e-003	8.18e-004	1.63e-005	4.40e-003	3.48e-008	1.45e-007	2.12e-004	9.93e-001	
1.08e-008	3.17e-011	4.12e-008	9.72e-117	3.82e-007	1.50e-007	7.68e-008	1.85e-007	1.67e-117	1.23e-003	7.94e-004	1.57e-005	4.28e-003	3.37e-008	1.43e-007	2.12e-004	9.93e-001	
1.04e-008	2.96e-011	3.93e-008	3.08e-114	3.73e-007	1.44e-007	7.54e-008	1.84e-007	5.81e-115	1.19e-003	7.69e-004	1.50e-005	4.15e-003	3.27e-008	1.41e-007	2.13e-004	9.94e-001	
1.01e-008	2.76e-011	3.76e-008	9.55e-112	3.64e-007	1.37e-007	7.39e-008	1.81e-007	1.98e-112	1.14e-003	7.40e-004	1.43e-005	4.00e-003	3.15e-008	1.38e-007	2.13e-004	9.94e-001	
9.80e-009	2.54e-011	3.58e-008	2.90e-109	3.53e-007	1.30e-007	7.21e-008	1.79e-007	6.64e-110	1.10e-003	7.10e-004	1.35e-005	3.85e-003	3.03e-008	1.35e-007	2.14e-004	9.94e-001	
9.54e-009	2.31e-011	3.38e-008	8.62e-107	3.42e-007	1.22e-007	7.00e-008	1.75e-007	2.18e-107	1.05e-003	6.78e-004	1.27e-005	3.68e-003	2.90e-008	1.30e-007	2.14e-004	9.94e-001	
9.35e-009	2.12e-011	3.20e-008	2.51e-104	3.29e-007	1.13e-007	6.77e-008	1.71e-007	6.99e-105	1.00e-003	6.44e-004	1.18e-005	3.50e-003	2.74e-008	1.25e-007	2.14e-004	9.95e-001	
9.13e-009	1.93e-011	3.00e-008	7.15e-102	3.16e-007	1.05e-007	6.52e-008	1.67e-007	2.20e-102	9.47e-004	6.08e-004	1.09e-005	3.32e-003	2.54e-008	1.19e-007	2.14e-004	9.95e-001	
8.83e-009	1.77e-011	2.81e-008	1.99e-099	3.01e-007	9.55e-008	6.24e-008	1.62e-007	6.76e-100	8.93e-004	5.71e-004	9.88e-006	3.13e-003	2.31e-008	1.12e-007	2.13e-004	9.95e-001	
8.30e-009	1.57e-011	2.56e-008	5.44e-097	2.85e-007	8.62e-008	5.94e-008	1.57e-007	2.03e-097	8.38e-004	5.33e-004	8.84e-006	2.94e-003	2.07e-008	1.03e-007	2.12e-004	9.95e-001	
7.64e-009	1.32e-011	2.26e-008	1.45e-094	2.68e-007	7.71e-008	5.62e-008	1.51e-007	5.96e-095	7.82e-004	4.95e-004	7.82e-006	2.74e-003	1.85e-008	9.39e-008	2.11e-004	9.96e-001	
6.97e-009	1.06e-011	1.95e-008	3.78e-092	2.51e-007	6.82e-008	5.27e-008	1.44e-007	1.70e-092	7.27e-004	4.58e-004	6.85e-006	2.54e-003	1.67e-008	8.42e-008	2.09e-004	9.96e-001	
6.42e-009	8.28e-012	1.66e-008	9.63e-090	2.34e-007	5.99e-008	4.91e-008	1.37e-007	4.74e-090	6.72e-004	4.21e-004	5.94e-006	2.35e-003	1.49e-008	7.45e-008	2.06e-004	9.96e-001	
6.04e-009	6.43e-012	1.41e-008	2.39e-087	2.17e-007	5.19e-008	4.53e-008	1.29e-007	1.28e-087	6.18e-004	3.86e-004	5.08e-006	2.16e-003	1.29e-008	6.50e-008	2.03e-004	9.97e-001	
5.75e-009	5.11e-012	1.22e-008	5.79e-085	2.00e-007	4.43e-008	4.15e-008	1.21e-007	3.36e-085	5.66e-004	3.52e-004	4.27e-006	1.97e-003	1.07e-008	5.59e-008	1.99e-004	9.97e-001	
5.39e-009	4.11e-012	1.07e-008	1.36e-082	1.83e-007	3.69e-008	3.75e-008	1.12e-007	8.54e-083	5.15e-004	3.20e-004	3.49e-006	1.80e-003	8.41e-009	4.71e-008	1.95e-004	9.97e-001	
4.79e-009	3.25e-012	9.09e-009	3.12e-080	1.65e-007	3.01e-008	3.37e-008	1.03e-007	2.10e-080	4.67e-004	2.90e-004	2.76e-006	1.63e-003	6.32e-009	3.89e-008	1.89e-004	9.97e-001	
3.96e-009	2.39e-012	7.25e-009	6.93e-078	1.46e-007	2.39e-008	3.00e-008	9.37e-008	4.97e-078	4.21e-004	2.62e-004	2.12e-006	1.47e-003	4.76e-009	3.12e-008	1.84e-004	9.98e-001	
3.09e-009	1.61e-012	5.40e-009	1.49e-075	1.28e-007	1.88e-008	2.64e-008	8.52e-008	1.13e-075	3.78e-004	2.36e-004	1.60e-006	1.32e-003	3.46e-009	2.42e-008	1.77e-004	9.98e-001	
2.34e-009	1.02e-012	3.81e-009	3.10e-073	1.11e-007	1.46e-008	2.32e-008	7.72e-008	2.48e-073	3.38e-004	2.12e-004	1.19e-006	1.18e-003	2.53e-009	1.83e-008	1.70e-004	9.98e-001	
1.77e-009	6.12e-013	2.61e-009	6.20e-071	9.68e-008	1.14e-008	2.01e-008	6.96e-008	5.19e-071	3.01e-004	1.91e-004	8.88e-007	1.05e-003	1.88e-009	1.37e-008	1.62e-004	9.98e-001	
1.35e-009	3.61e-013	1.75e-009	1.19e-068	8.41e-008	8.76e-009	1.72e-008	6.24e-008	1.04e-068	2.68e-004	1.72e-004	6.58e-007	9.36e-004	1.47e-009	1.01e-008	1.54e-004	9.98e-001	
1.04e-009	2.11e-013	1.17e-009	2.20e-066	7.29e-008	6.70e-009	1.45e-008	5.57e-008	1.98e-066	2.38e-004	1.56e-004	4.84e-007	8.31e-004	1.14e-009	7.40e-009	1.46e-004	9.99e-001	
7.95e-010	1.23e-013	7.88e-010	3.87e-064	6.31e-008	5.08e-009	1.21e-008	4.92e-008	3.60e-064	2.10e-004	1.40e-004	3.52e-007	7.36e-004	8.84e-010	5.38e-009	1.37e-004	9.99e-001	
6.03e-010	7.20e-014	5.31e-010	6.50e-062	5.44e-008	3.80e-009	9.99e-009	4.32e-008	6.20e-062	1.86e-004	1.27e-004	2.53e-007	6.50e-004	6.67e-010	3.88e-009	1.29e-004	9.99e-001	
4.52e-010	4.24e-014	3.60e-010	1.03e-059	4.66e-008	2.81e-009	8.09e-009	3.75e-008	1.01e-059	1.63e-004	1.14e-004	1.80e-007	5.73e-004	4.81e-010	2.77e-009	1.20e-004	9.99e-001	
3.30e-010	2.51e-014	2.45e-010	1.56e-057	3.97e-008	2.04e-009	6.44e-009	3.23e-008	1.54e-057	1.43e-004	1.03e-004	1.26e-007	5.04e-004	3.37e-010	1.95e-009	1.11e-004	9.99e-001	
2.35e-010	1.47e-014	1.66e-010	2.21e-055	3.35e-008	1.47e-009	5.04e-009	2.75e-008	2.21e-055	1.26e-004	9.22e-005	8.68e-008	4.42e-004	2.25e-010	1.36e-009	1.03e-004	9.99e-001	
1.65e-010	8.63e-015	1.12e-010	2.93e-053	2.80e-008	1.04e-009	3.87e-009	2.31e-008	2.96e-053	1.10e-004	8.26e-005	5.93e-008	3.87e-004	1.49e-010	9.39e-010	9.44e-005	9.99e-001	
1.13e-010	5.02e-015	7.52e-011	3.62e-051	2.32e-008	7.26e-010	2.93e-009	1.93e-008	3.68e-051	9.56e-005	7.37e-005	4.01e-008	3.38e-004	9.72e-011	6.42e-010	8.64e-005	9.99e-001	
7.60e-011	2.90e-015	5.01e-011	4.15e-049	1.89e-008	5.03e-010	2.18e-009	1.59e-008	4.21e-049	8.31e-005	6.54e-005	2.71e-008	2.95e-004	6.33e-011	4.35e-010	7.88e-005	9.99e-001	
5.06e-011	1.65e-015	3.30e-011	4.36e-047	1.53e-008	3.46e-010	1.59e-009	1.30e-008	4.42e-047	7.22e-005	5.77e-005	1.82e-008	2.58e-004	4.17e-011	2.93e-010	7.17e-005	1.00e+000	
3.38e-011	9.30e-016	2.15e-011	4.19e-045	1.22e-008	2.37e-010	1.14e-009	1.05e-008	4.22e-045	6.26e-005	5.05e-005	1.22e-008	2.25e-004	2.74e-011	1.95e-010	6.51e-005	1.00e+000	
