r,cm	e	O+	O2+	O3+	O4+	O-	O2-	O3-	O4-	O2[a]	O2[b]	O2[Hz]	O	O[1D]	O[1S]	O3	O2	Charge
0.975	1.65e+007	2.39e+002	8.44e+006	3.03e-021	9.27e+009	1.17e+008	6.18e+008	8.10e+009	2.95e-021	6.63e+013	5.07e+013	5.92e+009	2.43e+014	1.36e+007	8.58e+007	7.86e+013	1.60e+018	4.25e+008
0.980	1.13e+007	1.23e+002	4.95e+006	1.76e-019	7.04e+009	7.73e+007	4.18e+008	6.15e+009	1.69e-019	5.85e+013	4.18e+013	3.92e+009	2.16e+014	9.18e+006	5.35e+007	7.23e+013	1.60e+018	3.87e+008
0.985	7.72e+006	5.99e+001	2.74e+006	8.57e-018	5.30e+009	4.99e+007	2.81e+008	4.57e+009	8.09e-018	5.24e+013	3.34e+013	2.55e+009	1.94e+014	6.16e+006	3.21e+007	6.72e+013	1.61e+018	3.90e+008
0.990	5.16e+006	2.70e+001	1.37e+006	3.35e-016	3.99e+009	3.11e+007	1.88e+008	3.30e+009	3.11e-016	4.78e+013	2.54e+013	1.61e+009	1.77e+014	4.09e+006	1.83e+007	6.33e+013	1.61e+018	4.63e+008
0.995	3.12e+006	1.05e+001	5.84e+005	9.87e-015	3.05e+009	1.80e+007	1.23e+008	2.27e+009	9.08e-015	4.47e+013	1.76e+013	9.55e+008	1.65e+014	2.62e+006	9.47e+006	6.07e+013	1.61e+018	6.34e+008
1.000	1.25e+006	2.92e+000	1.70e+005	1.97e-013	2.10e+009	8.29e+006	6.72e+007	1.26e+009	1.82e-013	4.30e+013	1.02e+013	4.44e+008	1.58e+014	1.42e+006	3.74e+006	5.95e+013	1.61e+018	7.65e+008
1.004	1.61e-012	1.61e-012	1.61e-012	1.61e-012	1.61e-012	1.61e-012	1.61e-012	1.61e-012	1.61e-012	4.29e+013	4.64e+012	3.45e+007	1.56e+014	1.09e+005	2.88e+005	5.95e+013	1.61e+018	1.61e-012

x(e)	x(O+)	x(O2+)	x(O3+)	x(O4+)	x(O-)	x(O2-)	x(O3-)	x(O4-)	x(O2[a])	x(O2[b])	x(O2[Hz])	x(O)	x(O[1D])	x(O[1S])	x(O3)	x(O2)	
1.00e-050	1.00e-050	1.00e-050	1.00e-050	1.00e-050	1.00e-050	1.00e-050	1.00e-050	1.00e-050	6.91e-006	8.08e-007	3.96e-012	2.22e-005	2.31e-016	5.77e-014	1.19e-005	1.00e+000	
9.13e-017	3.36e-019	6.16e-014	1.22e-051	3.26e-010	1.39e-012	3.43e-011	5.08e-010	1.19e-051	6.94e-006	1.77e-006	5.11e-011	2.26e-005	3.01e-015	7.51e-013	1.19e-005	1.00e+000	
2.24e-016	3.11e-019	5.66e-014	6.14e-053	3.83e-010	1.52e-012	3.24e-011	5.32e-010	5.98e-053	7.12e-006	3.07e-006	7.11e-011	2.34e-005	7.11e-015	1.10e-012	1.21e-005	1.00e+000	
4.12e-016	4.97e-019	8.64e-014	2.08e-054	5.79e-010	2.15e-012	4.20e-011	7.03e-010	2.06e-054	7.46e-006	4.39e-006	1.03e-010	2.45e-005	1.62e-014	1.63e-012	1.25e-005	1.00e+000	
7.19e-016	8.32e-019	1.35e-013	5.34e-056	8.67e-010	3.06e-012	5.84e-011	9.48e-010	5.38e-056	7.94e-006	5.74e-006	1.49e-010	2.60e-005	3.44e-014	2.46e-012	1.32e-005	1.00e+000	
1.24e-015	1.38e-018	2.06e-013	1.10e-057	1.23e-009	4.21e-012	7.88e-011	1.24e-009	1.13e-057	8.57e-006	7.14e-006	2.10e-010	2.80e-005	6.82e-014	3.63e-012	1.40e-005	1.00e+000	
2.14e-015	2.24e-018	3.04e-013	1.89e-059	1.66e-009	5.65e-012	1.05e-010	1.59e-009	1.99e-059	9.35e-006	8.58e-006	2.87e-010	3.02e-005	1.27e-013	5.23e-012	1.50e-005	1.00e+000	
3.71e-015	3.56e-018	4.37e-013	2.78e-061	2.17e-009	7.45e-012	1.38e-010	1.99e-009	2.99e-061	1.03e-005	1.01e-005	3.85e-010	3.29e-005	2.25e-013	7.35e-012	1.63e-005	1.00e+000	
6.42e-015	5.51e-018	6.11e-013	3.59e-063	2.75e-009	9.66e-012	1.78e-010	2.45e-009	3.95e-063	1.13e-005	1.16e-005	5.07e-010	3.60e-005	3.77e-013	1.01e-011	1.77e-005	1.00e+000	
1.09e-014	8.33e-018	8.35e-013	4.13e-065	3.40e-009	1.24e-011	2.25e-010	2.96e-009	4.64e-065	1.25e-005	1.32e-005	6.57e-010	3.94e-005	6.04e-013	1.36e-011	1.93e-005	1.00e+000	
1.83e-014	1.23e-017	1.11e-012	4.27e-067	4.12e-009	1.56e-011	2.80e-010	3.55e-009	4.91e-067	1.39e-005	1.49e-005	8.41e-010	4.32e-005	9.26e-013	1.79e-011	2.10e-005	1.00e+000	
2.97e-014	1.78e-017	1.46e-012	4.02e-069	4.92e-009	1.96e-011	3.45e-010	4.19e-009	4.72e-069	1.54e-005	1.66e-005	1.06e-009	4.74e-005	1.36e-012	2.32e-011	2.29e-005	1.00e+000	
4.67e-014	2.51e-017	1.87e-012	3.47e-071	5.80e-009	2.42e-011	4.21e-010	4.90e-009	4.16e-071	1.70e-005	1.84e-005	1.33e-009	5.20e-005	1.94e-012	2.95e-011	2.50e-005	1.00e+000	
7.13e-014	3.49e-017	2.37e-012	2.77e-073	6.74e-009	2.98e-011	5.10e-010	5.67e-009	3.39e-073	1.87e-005	2.03e-005	1.64e-009	5.70e-005	2.66e-012	3.70e-011	2.71e-005	1.00e+000	
1.05e-013	4.76e-017	2.95e-012	2.05e-075	7.75e-009	3.64e-011	6.13e-010	6.49e-009	2.56e-075	2.06e-005	2.21e-005	2.00e-009	6.23e-005	3.57e-012	4.58e-011	2.94e-005	1.00e+000	
1.51e-013	6.39e-017	3.63e-012	1.42e-077	8.81e-009	4.40e-011	7.33e-010	7.37e-009	1.81e-077	2.25e-005	2.41e-005	2.43e-009	6.80e-005	4.66e-012	5.61e-011	3.19e-005	1.00e+000	
2.11e-013	8.44e-017	4.41e-012	9.21e-080	9.92e-009	5.29e-011	8.70e-010	8.29e-009	1.19e-079	2.46e-005	2.60e-005	2.91e-009	7.40e-005	5.95e-012	6.78e-011	3.44e-005	1.00e+000	
2.87e-013	1.10e-016	5.31e-012	5.63e-082	1.11e-008	6.31e-011	1.02e-009	9.25e-009	7.44e-082	2.68e-005	2.80e-005	3.47e-009	8.04e-005	7.47e-012	8.11e-011	3.70e-005	1.00e+000	
3.82e-013	1.43e-016	6.34e-012	3.25e-084	1.22e-008	7.47e-011	1.19e-009	1.02e-008	4.38e-084	2.91e-005	3.00e-005	4.09e-009	8.70e-005	9.25e-012	9.63e-011	3.96e-005	1.00e+000	
4.97e-013	1.82e-016	7.50e-012	1.78e-086	1.34e-008	8.78e-011	1.37e-009	1.12e-008	2.44e-086	3.14e-005	3.20e-005	4.79e-009	9.40e-005	1.13e-011	1.13e-010	4.23e-005	1.00e+000	
6.36e-013	2.30e-016	8.81e-012	9.28e-089	1.46e-008	1.02e-010	1.56e-009	1.23e-008	1.29e-088	3.39e-005	3.40e-005	5.57e-009	1.01e-004	1.36e-011	1.32e-010	4.51e-005	1.00e+000	
8.01e-013	2.88e-016	1.03e-011	4.61e-091	1.58e-008	1.19e-010	1.77e-009	1.33e-008	6.52e-091	3.64e-005	3.59e-005	6.43e-009	1.09e-004	1.63e-011	1.53e-010	4.79e-005	1.00e+000	
9.94e-013	3.57e-016	1.19e-011	2.18e-093	1.71e-008	1.36e-010	1.99e-009	1.43e-008	3.14e-093	3.90e-005	3.79e-005	7.37e-009	1.17e-004	1.93e-011	1.76e-010	5.08e-005	1.00e+000	
1.22e-012	4.38e-016	1.36e-011	9.91e-096	1.83e-008	1.56e-010	2.21e-009	1.53e-008	1.45e-095	4.16e-005	3.99e-005	8.40e-009	1.25e-004	2.26e-011	2.01e-010	5.36e-005	1.00e+000	
1.48e-012	5.32e-016	1.56e-011	4.32e-098	1.95e-008	1.77e-010	2.45e-009	1.63e-008	6.41e-098	4.43e-005	4.18e-005	9.52e-009	1.33e-004	2.64e-011	2.28e-010	5.65e-005	1.00e+000	
1.78e-012	6.41e-016	1.77e-011	1.81e-100	2.07e-008	2.01e-010	2.70e-009	1.73e-008	2.72e-100	4.71e-005	4.37e-005	1.07e-008	1.41e-004	3.06e-011	2.57e-010	5.94e-005	1.00e+000	
2.11e-012	7.67e-016	1.99e-011	7.26e-103	2.19e-008	2.26e-010	2.96e-009	1.83e-008	1.11e-102	4.99e-005	4.56e-005	1.20e-008	1.50e-004	3.52e-011	2.89e-010	6.23e-005	1.00e+000	
2.49e-012	9.12e-016	2.24e-011	2.82e-105	2.30e-008	2.53e-010	3.23e-009	1.92e-008	4.37e-105	5.27e-005	4.74e-005	1.34e-008	1.59e-004	4.03e-011	3.22e-010	6.51e-005	1.00e+000	
2.91e-012	1.08e-015	2.50e-011	1.05e-107	2.41e-008	2.82e-010	3.49e-009	2.01e-008	1.66e-107	5.56e-005	4.92e-005	1.49e-008	1.68e-004	4.59e-011	3.58e-010	6.79e-005	1.00e+000	
3.37e-012	1.26e-015	2.78e-011	3.81e-110	2.53e-008	3.13e-010	3.75e-009	2.10e-008	6.08e-110	5.84e-005	5.09e-005	1.65e-008	1.77e-004	5.19e-011	3.96e-010	7.08e-005	1.00e+000	
3.87e-012	1.47e-015	3.08e-011	1.33e-112	2.64e-008	3.45e-010	4.01e-009	2.19e-008	2.16e-112	6.13e-005	5.26e-005	1.81e-008	1.86e-004	5.85e-011	4.36e-010	7.35e-005	1.00e+000	
4.42e-012	1.70e-015	3.40e-011	4.52e-115	2.75e-008	3.78e-010	4.26e-009	2.27e-008	7.40e-115	6.42e-005	5.43e-005	1.99e-008	1.96e-004	6.56e-011	4.79e-010	7.63e-005	1.00e+000	
5.02e-012	1.96e-015	3.74e-011	1.49e-117	2.85e-008	4.14e-010	4.51e-009	2.36e-008	2.46e-117	6.72e-005	5.59e-005	2.18e-008	2.05e-004	7.32e-011	5.24e-010	7.90e-005	1.00e+000	
5.66e-012	2.25e-015	4.10e-011	4.74e-120	2.96e-008	4.51e-010	4.76e-009	2.44e-008	7.96e-120	7.01e-005	5.75e-005	2.38e-008	2.15e-004	8.13e-011	5.72e-010	8.17e-005	1.00e+000	
6.34e-012	2.57e-015	4.49e-011	1.47e-122	3.06e-008	4.90e-010	5.01e-009	2.52e-008	2.50e-122	7.30e-005	5.91e-005	2.59e-008	2.25e-004	9.00e-011	6.22e-010	8.43e-005	1.00e+000	
