t,s	t_el,s	dte,s	dt,s	NRF	Pgas(t),Torr	Tgas(t),K	Te(t),[K]	Jel(t),[A/cm2]	Iel(t),[mA]	Vext(t),[kV]	Power(t),[W/cm^2]	<Iel>RF,[mA]	<Power>RF,[W/cm^2]	Ngas(t),[cm-3]	Xel	MNT,[g*cm-3*K]	MNTr,[g*cm-3*K]	e(t)	O+(t)	O2+(t)	O3+(t)	O4+(t)	O-(t)	O2-(t)	O3-(t)	O4-(t)	O2[a](t)	O2[b](t)	O2[Hz](t)	O(t)	O[1D](t)	O[1S](t)	O3(t)	O2(t)	
6.5919411e-005	4.5903880e-007	1.67e-011	2.78e-009	36.72	50.0	302.7	6577.5	0.00e+000	53.021	-1.889	1.01e+001	7.08e-002	1.34e-002	1.60e+018	1.27e-009	1.72235e-002	4.30242e-005	2.03e+009	2.42e+006	1.91e+010	1.95e-016	3.89e+010	3.03e+010	2.23e+009	2.29e+010	1.98e-016	1.27e+014	2.01e+014	4.61e+012	5.57e+014	6.60e+010	1.97e+011	2.72e+013	1.59e+018	
6.6775878e-005	4.6443976e-007	1.61e-011	2.34e-009	37.16	50.0	302.8	6109.5	0.00e+000	52.792	1.924	1.02e+001	6.81e-002	1.32e-002	1.60e+018	1.25e-009	1.72215e-002	4.30181e-005	1.99e+009	2.42e+006	1.90e+010	1.97e-016	3.95e+010	3.05e+010	2.26e+009	2.33e+010	2.01e-016	1.29e+014	2.04e+014	4.54e+012	5.64e+014	6.76e+010	1.91e+011	2.79e+013	1.59e+018	
6.7596794e-005	4.6971311e-007	1.69e-011	3.15e-009	37.58	50.0	302.8	14403.1	0.00e+000	51.793	-1.851	1.02e+001	7.00e-002	1.38e-002	1.60e+018	1.21e-009	1.72194e-002	4.30122e-005	1.94e+009	2.40e+006	1.90e+010	1.99e-016	4.01e+010	3.06e+010	2.30e+009	2.38e+010	2.03e-016	1.30e+014	2.06e+014	4.51e+012	5.70e+014	6.40e+010	1.85e+011	2.85e+013	1.59e+018	
6.8703264e-005	4.7483442e-007	2.27e-011	4.25e-009	37.99	50.0	302.8	5981.8	0.00e+000	16.212	-0.310	5.97e-001	2.94e-002	1.08e-003	1.60e+018	1.24e-009	1.72165e-002	4.30035e-005	1.97e+009	2.49e+006	1.91e+010	2.01e-016	4.06e+010	3.09e+010	2.34e+009	2.42e+010	2.05e-016	1.33e+014	2.09e+014	4.66e+012	5.80e+014	1.25e+009	1.91e+011	2.93e+013	1.59e+018	
6.9855441e-005	4.7995811e-007	1.61e-011	4.34e-009	38.40	50.0	302.9	27504.4	0.00e+000	49.538	1.705	8.28e+000	6.37e-002	1.06e-002	1.59e+018	1.30e-009	1.72135e-002	4.29946e-005	2.07e+009	2.61e+006	1.93e+010	2.04e-016	4.12e+010	3.10e+010	2.37e+009	2.46e+010	2.07e-016	1.35e+014	2.13e+014	4.76e+012	5.90e+014	5.32e+010	2.07e+011	3.02e+013	1.59e+018	
7.0266735e-005	4.8540261e-007	1.64e-011	4.41e-010	38.83	50.0	302.9	6080.4	0.00e+000	53.487	-1.891	9.96e+000	7.00e-002	1.30e-002	1.59e+018	1.30e-009	1.72126e-002	4.29920e-005	2.07e+009	2.63e+006	1.93e+010	2.06e-016	4.18e+010	3.12e+010	2.41e+009	2.50e+010	2.09e-016	1.36e+014	2.14e+014	4.57e+012	5.92e+014	6.48e+010	1.88e+011	3.06e+013	1.59e+018	
7.0421599e-005	4.9075838e-007	1.58e-011	5.95e-010	39.26	50.0	302.9	12162.6	0.00e+000	53.245	1.894	9.99e+000	6.72e-002	1.26e-002	1.59e+018	1.29e-009	1.72122e-002	4.29909e-005	2.05e+009	2.64e+006	1.93e+010	2.08e-016	4.24e+010	3.13e+010	2.45e+009	2.54e+010	2.12e-016	1.36e+014	2.14e+014	4.57e+012	5.93e+014	6.60e+010	1.89e+011	3.07e+013	1.59e+018	
7.0630334e-005	4.9609928e-007	1.68e-011	8.02e-010	39.69	50.0	302.9	7920.9	0.00e+000	52.954	-1.873	1.01e+001	7.10e-002	1.35e-002	1.59e+018	1.27e-009	1.72117e-002	4.29893e-005	2.02e+009	2.63e+006	1.92e+010	2.10e-016	4.30e+010	3.15e+010	2.49e+009	2.59e+010	2.14e-016	1.36e+014	2.15e+014	4.57e+012	5.95e+014	6.69e+010	1.89e+011	3.08e+013	1.59e+018	
7.0911677e-005	5.0150345e-007	1.64e-011	1.08e-009	40.12	50.0	302.9	6230.4	0.00e+000	52.525	1.897	1.02e+001	6.88e-002	1.34e-002	1.59e+018	1.24e-009	1.72110e-002	4.29873e-005	1.98e+009	2.61e+006	1.92e+010	2.13e-016	4.37e+010	3.16e+010	2.53e+009	2.63e+010	2.16e-016	1.37e+014	2.16e+014	4.56e+012	5.97e+014	6.65e+010	1.88e+011	3.11e+013	1.59e+018	
7.1290884e-005	5.0670140e-007	2.29e-011	1.46e-009	40.54	50.0	303.0	24772.3	0.00e+000	31.394	-0.952	2.77e+000	5.76e-002	5.08e-003	1.59e+018	1.24e-009	1.72101e-002	4.29844e-005	1.97e+009	2.62e+006	1.92e+010	2.15e-016	4.42e+010	3.17e+010	2.57e+009	2.68e+010	2.18e-016	1.38e+014	2.17e+014	4.56e+012	6.00e+014	2.73e+009	1.87e+011	3.14e+013	1.59e+018	
7.1801998e-005	5.1178106e-007	1.84e-011	1.96e-009	40.94	50.0	303.0	6355.9	0.00e+000	37.641	-1.154	4.34e+000	5.55e-002	6.40e-003	1.59e+018	1.27e-009	1.72087e-002	4.29802e-005	2.02e+009	2.74e+006	1.94e+010	2.17e-016	4.48e+010	3.20e+010	2.61e+009	2.72e+010	2.20e-016	1.39e+014	2.18e+014	4.69e+012	6.05e+014	2.75e+010	1.95e+011	3.18e+013	1.59e+018	
7.2490903e-005	5.1702977e-007	1.54e-011	2.65e-009	41.36	50.0	303.0	30441.0	0.00e+000	53.186	1.876	9.73e+000	6.56e-002	1.20e-002	1.59e+018	1.31e-009	1.72069e-002	4.29749e-005	2.09e+009	2.81e+006	1.95e+010	2.19e-016	4.54e+010	3.21e+010	2.65e+009	2.76e+010	2.23e-016	1.40e+014	2.20e+014	4.71e+012	6.11e+014	6.38e+010	2.01e+011	3.23e+013	1.59e+018	
7.3190826e-005	5.2244662e-007	1.64e-011	2.30e-009	41.80	50.0	303.0	6746.0	0.00e+000	53.483	-1.879	9.95e+000	7.04e-002	1.31e-002	1.59e+018	1.30e-009	1.72052e-002	4.29696e-005	2.07e+009	2.81e+006	1.95e+010	2.21e-016	4.60e+010	3.22e+010	2.69e+009	2.81e+010	2.25e-016	1.42e+014	2.22e+014	4.67e+012	6.16e+014	6.48e+010	1.97e+011	3.29e+013	1.59e+018	
7.3999681e-005	5.2781211e-007	1.59e-011	3.11e-009	42.22	50.0	303.1	10294.1	0.00e+000	53.301	1.885	1.00e+001	6.79e-002	1.28e-002	1.59e+018	1.28e-009	1.72031e-002	4.29635e-005	2.04e+009	2.81e+006	1.94e+010	2.24e-016	4.66e+010	3.24e+010	2.73e+009	2.85e+010	2.27e-016	1.43e+014	2.25e+014	4.64e+012	6.22e+014	6.61e+010	1.95e+011	3.35e+013	1.59e+018	
7.4975427e-005	5.3312383e-007	1.68e-011	2.85e-009	42.65	50.0	303.1	10670.9	0.00e+000	52.839	-1.838	1.01e+001	7.11e-002	1.36e-002	1.59e+018	1.26e-009	1.72007e-002	4.29561e-005	2.01e+009	2.79e+006	1.94e+010	2.26e-016	4.72e+010	3.25e+010	2.77e+009	2.89e+010	2.29e-016	1.45e+014	2.27e+014	4.59e+012	6.30e+014	6.89e+010	1.89e+011	3.43e+013	1.59e+018	
7.5975068e-005	5.3853563e-007	1.67e-011	3.84e-009	43.08	50.0	303.2	6618.8	0.00e+000	52.215	1.934	1.02e+001	6.96e-002	1.36e-002	1.59e+018	1.22e-009	1.71982e-002	4.29486e-005	1.95e+009	2.76e+006	1.93e+010	2.28e-016	4.78e+010	3.26e+010	2.82e+009	2.94e+010	2.32e-016	1.47e+014	2.30e+014	4.52e+012	6.37e+014	6.73e+010	1.80e+011	3.52e+013	1.59e+018	
7.7322433e-005	5.4345833e-007	2.34e-011	5.17e-009	43.48	50.0	303.2	40991.8	0.00e+000	22.406	0.538	1.27e+000	4.20e-002	2.38e-003	1.59e+018	1.26e-009	1.71946e-002	4.29377e-005	2.00e+009	2.89e+006	1.95e+010	2.30e-016	4.84e+010	3.28e+010	2.86e+009	2.98e+010	2.34e-016	1.50e+014	2.34e+014	4.75e+012	6.49e+014	3.40e+009	1.91e+011	3.63e+013	1.59e+018	
7.8478891e-005	5.4877176e-007	1.68e-011	4.28e-009	43.90	50.0	303.3	6856.1	0.00e+000	48.278	-1.628	7.72e+000	6.50e-002	1.04e-002	1.59e+018	1.30e-009	1.71916e-002	4.29283e-005	2.08e+009	2.99e+006	1.96e+010	2.32e-016	4.90e+010	3.29e+010	2.90e+009	3.02e+010	2.36e-016	1.52e+014	2.37e+014	4.78e+012	6.59e+014	4.91e+010	2.01e+011	3.72e+013	1.59e+018	
7.9980180e-005	5.5408693e-007	1.55e-011	5.77e-009	44.33	50.0	303.4	28565.5	0.00e+000	53.753	1.899	9.95e+000	6.67e-002	1.23e-002	1.59e+018	1.31e-009	1.71877e-002	4.29166e-005	2.09e+009	3.03e+006	1.96e+010	2.35e-016	4.96e+010	3.30e+010	2.94e+009	3.07e+010	2.38e-016	1.55e+014	2.42e+014	4.78e+012	6.72e+014	6.49e+010	2.04e+011	3.85e+013	1.59e+018	
8.1334550e-005	5.5947126e-007	1.65e-011	3.79e-009	44.76	50.0	303.4	7887.7	0.00e+000	53.679	-1.872	1.00e+001	7.09e-002	1.33e-002	1.59e+018	1.30e-009	1.71843e-002	4.29061e-005	2.07e+009	3.05e+006	1.96e+010	2.37e-016	5.02e+010	3.31e+010	2.99e+009	3.11e+010	2.40e-016	1.58e+014	2.45e+014	4.70e+012	6.82e+014	6.61e+010	1.93e+011	3.96e+013	1.59e+018	
8.2665991e-005	5.6484919e-007	1.62e-011	5.11e-009	45.19	50.0	303.5	8739.1	0.00e+000	53.324	1.875	1.01e+001	6.91e-002	1.31e-002	1.59e+018	1.28e-009	1.71810e-002	4.28959e-005	2.04e+009	3.06e+006	1.95e+010	2.39e-016	5.08e+010	3.32e+010	3.04e+009	3.16e+010	2.43e-016	1.60e+014	2.49e+014	4.63e+012	6.92e+014	6.73e+010	1.89e+011	4.08e+013	1.59e+018	
8.4258309e-005	5.7014135e-007	1.68e-011	4.09e-009	45.61	50.0	303.5	15707.0	0.00e+000	53.137	-1.846	1.03e+001	7.16e-002	1.39e-002	1.59e+018	1.25e-009	1.71769e-002	4.28833e-005	2.00e+009	3.05e+006	1.95e+010	2.41e-016	5.14e+010	3.33e+010	3.08e+009	3.20e+010	2.45e-016	1.64e+014	2.53e+014	4.58e+012	7.04e+014	6.96e+010	1.79e+011	4.22e+013	1.59e+018	
8.5681232e-005	5.7545917e-007	2.91e-011	4.02e-009	46.04	50.0	303.6	7296.7	0.00e+000	31.383	0.965	2.71e+000	7.31e-002	6.30e-003	1.59e+018	1.25e-009	1.71733e-002	4.28721e-005	1.99e+009	3.08e+006	1.95e+010	2.44e-016	5.20e+010	3.35e+010	3.13e+009	3.25e+010	2.47e-016	1.66e+014	2.57e+014	4.50e+012	7.15e+014	3.35e+009	1.72e+011	4.34e+013	1.59e+018	
8.7093663e-005	5.8038232e-007	1.79e-011	5.42e-009	46.43	50.0	303.7	47617.0	0.00e+000	41.897	1.347	5.48e+000	5.98e-002	7.83e-003	1.59e+018	1.30e-009	1.71693e-002	4.28601e-005	2.07e+009	3.29e+006	1.97e+010	2.46e-016	5.25e+010	3.36e+010	3.17e+009	3.29e+010	2.49e-016	1.70e+014	2.61e+014	4.84e+012	7.29e+014	3.12e+010	1.96e+011	4.46e+013	1.59e+018	
8.8782649e-005	5.8580294e-007	1.63e-011	6.34e-009	46.86	50.0	303.8	7562.5	0.00e+000	53.213	-1.843	9.59e+000	6.92e-002	1.25e-002	1.59e+018	1.32e-009	1.71649e-002	4.28461e-005	2.10e+009	3.37e+006	1.97e+010	2.48e-016	5.31e+010	3.37e+010	3.22e+009	3.33e+010	2.51e-016	1.73e+014	2.66e+014	4.85e+012	7.43e+014	6.27e+010	2.03e+011	4.61e+013	1.59e+018	
9.0211821e-005	5.9115143e-007	1.57e-011	4.33e-009	47.29	50.0	303.8	22963.7	0.00e+000	53.920	1.886	9.98e+000	6.78e-002	1.25e-002	1.59e+018	1.31e-009	1.71614e-002	4.28353e-005	2.09e+009	3.40e+006	1.97e+010	2.50e-016	5.37e+010	3.38e+010	3.27e+009	3.37e+010	2.54e-016	1.76e+014	2.69e+014	4.71e+012	7.53e+014	6.52e+010	1.90e+011	4.74e+013	1.59e+018	
9.1659213e-005	5.9651267e-007	1.67e-011	5.32e-009	47.72	50.0	303.9	9583.9	0.00e+000	53.760	-1.856	1.00e+001	7.17e-002	1.34e-002	1.59e+018	1.30e-009	1.71577e-002	4.28236e-005	2.07e+009	3.42e+006	1.96e+010	2.52e-016	5.43e+010	3.39e+010	3.32e+009	3.42e+010	2.56e-016	1.79e+014	2.73e+014	4.68e+012	7.64e+014	6.62e+010	1.88e+011	4.87e+013	1.59e+018	
9.3003446e-005	6.0190457e-007	1.64e-011	1.07e-009	48.15	50.0	303.9	8511.9	0.00e+000	53.706	1.890	1.03e+001	7.03e-002	1.35e-002	1.59e+018	1.28e-009	1.71543e-002	4.28133e-005	2.03e+009	3.43e+006	1.96e+010	2.55e-016	5.49e+010	3.40e+010	3.37e+009	3.46e+010	2.58e-016	1.81e+014	2.76e+014	4.49e+012	7.73e+014	6.76e+010	1.69e+011	4.99e+013	1.59e+018	
9.3378348e-005	6.0718479e-007	1.70e-011	1.44e-009	48.57	50.0	304.0	26589.8	0.00e+000	52.713	-1.800	1.03e+001	7.16e-002	1.39e-002	1.59e+018	1.25e-009	1.71534e-002	4.28104e-005	1.98e+009	3.42e+006	1.96e+010	2.57e-016	5.55e+010	3.41e+010	3.42e+009	3.51e+010	2.60e-016	1.82e+014	2.77e+014	4.50e+012	7.76e+014	4.90e+010	1.68e+011	5.02e+013	1.59e+018	
9.3883659e-005	6.1227109e-007	2.17e-011	1.94e-009	48.98	50.0	304.0	8082.6	0.00e+000	18.973	-0.422	8.43e-001	3.29e-002	1.46e-003	1.59e+018	1.27e-009	1.71520e-002	4.28062e-005	2.01e+009	3.56e+006	1.97e+010	2.59e-016	5.61e+010	3.43e+010	3.48e+009	3.55e+010	2.62e-016	1.83e+014	2.78e+014	4.61e+012	7.80e+014	4.96e+009	1.74e+011	5.07e+013	1.59e+018	
9.4564742e-005	6.1743779e-007	1.60e-011	2.62e-009	49.40	50.0	304.0	55336.5	0.00e+000	50.259	1.710	8.28e+000	6.44e-002	1.06e-002	1.59e+018	1.33e-009	1.71502e-002	4.28005e-005	2.12e+009	3.73e+006	1.98e+010	2.61e-016	5.67e+010	3.44e+010	3.52e+009	3.59e+010	2.65e-016	1.84e+014	2.80e+014	4.71e+012	7.87e+014	5.45e+010	1.86e+011	5.13e+013	1.59e+018	
9.5482739e-005	6.2287244e-007	1.63e-011	3.53e-009	49.83	50.0	304.1	8578.1	0.00e+000	54.221	-1.878	9.95e+000	7.05e-002	1.29e-002	1.59e+018	1.33e-009	1.71478e-002	4.27929e-005	2.11e+009	3.76e+006	1.98e+010	2.63e-016	5.73e+010	3.45e+010	3.58e+009	3.64e+010	2.67e-016	1.86e+014	2.83e+014	4.73e+012	7.94e+014	6.50e+010	1.89e+011	5.21e+013	1.59e+018	
9.6417978e-005	6.2823851e-007	1.59e-011	2.82e-009	50.26	50.0	304.1	19418.7	0.00e+000	54.024	1.866	9.98e+000	6.87e-002	1.27e-002	1.59e+018	1.32e-009	1.71455e-002	4.27857e-005	2.09e+009	3.78e+006	1.98e+010	2.65e-016	5.79e+010	3.46e+010	3.63e+009	3.69e+010	2.69e-016	1.88e+014	2.85e+014	4.64e+012	8.01e+014	6.62e+010	1.82e+011	5.30e+013	1.59e+018	
9.7013361e-005	6.3357559e-007	1.68e-011	3.05e-010	50.69	50.0	304.1	12738.8	0.00e+000	53.905	-1.835	1.01e+001	7.23e-002	1.35e-002	1.59e+018	1.30e-009	1.71440e-002	4.27810e-005	2.07e+009	3.77e+006	1.97e+010	2.68e-016	5.85e+010	3.47e+010	3.69e+009	3.73e+010	2.71e-016	1.89e+014	2.86e+014	4.59e+012	8.05e+014	5.72e+010	1.74e+011	5.35e+013	1.59e+018	
9.7120549e-005	6.3896940e-007	1.67e-011	4.12e-010	51.12	50.0	304.1	8873.1	0.00e+000	53.288	1.852	1.02e+001	7.13e-002	1.36e-002	1.59e+018	1.27e-009	1.71437e-002	4.27802e-005	2.02e+009	3.74e+006	1.97e+010	2.70e-016	5.91e+010	3.48e+010	3.75e+009	3.78e+010	2.73e-016	1.89e+014	2.86e+014	4.59e+012	8.05e+014	5.11e+010	1.74e+011	5.36e+013	1.59e+018	
9.7265023e-005	6.4418181e-007	2.30e-011	5.55e-010	51.53	50.0	304.1	50004.7	0.00e+000	32.146	-0.906	2.83e+000	5.91e-002	5.21e-003	1.59e+018	1.27e-009	1.71433e-002	4.27790e-005	2.02e+009	3.77e+006	1.97e+010	2.72e-016	5.97e+010	3.49e+010	3.80e+009	3.82e+010	2.76e-016	1.90e+014	2.87e+014	4.59e+012	8.07e+014	1.04e+010	1.74e+011	5.38e+013	1.59e+018	
9.7459752e-005	6.4924785e-007	1.81e-011	7.48e-010	51.94	50.0	304.2	8936.5	0.00e+000	38.735	-1.192	4.49e+000	5.62e-002	6.51e-003	1.59e+018	1.30e-009	1.71428e-002	4.27773e-005	2.07e+009	3.93e+006	1.98e+010	2.74e-016	6.03e+010	3.51e+010	3.85e+009	3.86e+010	2.78e-016	1.90e+014	2.87e+014	4.65e+012	8.08e+014	3.85e+010	1.77e+011	5.40e+013	1.59e+018	
9.7722217e-005	6.5452670e-007	1.54e-011	1.01e-009	52.36	50.0	304.2	56390.6	0.00e+000	53.857	1.868	9.68e+000	6.65e-002	1.20e-002	1.59e+018	1.34e-009	1.71421e-002	4.27752e-005	2.13e+009	4.02e+006	1.99e+010	2.76e-016	6.08e+010	3.52e+010	3.91e+009	3.91e+010	2.80e-016	1.91e+014	2.88e+014	4.66e+012	8.11e+014	6.43e+010	1.80e+011	5.42e+013	1.59e+018	
9.8075981e-005	6.5994005e-007	1.64e-011	1.36e-009	52.80	50.0	304.2	10042.5	0.00e+000	54.273	-1.862	9.95e+000	7.11e-002	1.30e-002	1.59e+018	1.33e-009	1.71412e-002	4.27722e-005	2.11e+009	4.01e+006	1.99e+010	2.79e-016	6.15e+010	3.52e+010	3.97e+009	3.95e+010	2.82e-016	1.91e+014	2.89e+014	4.67e+012	8.13e+014	6.53e+010	1.81e+011	5.45e+013	1.59e+018	
9.8552801e-005	6.6531131e-007	1.62e-011	1.83e-009	53.22	50.0	304.2	15598.4	0.00e+000	54.164	1.856	1.00e+001	7.01e-002	1.30e-002	1.59e+018	1.32e-009	1.71400e-002	4.27684e-005	2.09e+009	4.01e+006	1.98e+010	2.81e-016	6.21e+010	3.53e+010	4.02e+009	4.00e+010	2.84e-016	1.92e+014	2.90e+014	4.66e+012	8.17e+014	6.65e+010	1.80e+011	5.50e+013	1.59e+018	
9.9195482e-005	6.7063019e-007	1.69e-011	2.47e-009	53.65	50.0	304.2	18216.4	0.00e+000	53.763	-1.832	1.01e+001	7.26e-002	1.36e-002	1.59e+018	1.30e-009	1.71383e-002	4.27631e-005	2.06e+009	3.97e+006	1.98e+010	2.83e-016	6.27e+010	3.54e+010	4.08e+009	4.05e+010	2.86e-016	1.94e+014	2.91e+014	4.65e+012	8.22e+014	6.77e+010	1.78e+011	5.55e+013	1.59e+018	
1.0006172e-004	6.7602037e-007	1.69e-011	3.33e-009	54.08	50.0	304.3	9686.8	0.00e+000	53.532	1.879	1.04e+001	7.22e-002	1.40e-002	1.59e+018	1.26e-009	1.71361e-002	4.27562e-005	2.00e+009	3.91e+006	1.97e+010	2.85e-016	6.33e+010	3.55e+010	4.14e+009	4.09e+010	2.89e-016	1.95e+014	2.93e+014	4.59e+012	8.28e+014	6.79e+010	1.70e+011	5.63e+013	1.59e+018	
1.0122928e-004	6.8098284e-007	2.37e-011	4.48e-009	54.48	50.0	304.3	88420.2	0.00e+000	20.400	0.495	1.01e+000	3.86e-002	1.92e-003	1.59e+018	1.29e-009	1.71329e-002	4.27460e-005	2.05e+009	4.06e+006	1.98e+010	2.87e-016	6.38e+010	3.56e+010	4.19e+009	4.13e+010	2.91e-016	1.98e+014	2.97e+014	4.78e+012	8.38e+014	2.89e+009	1.79e+011	5.74e+013	1.59e+018	
1.0266609e-004	6.8627575e-007	1.67e-011	5.48e-009	54.90	50.0	304.4	10072.6	0.00e+000	48.780	-1.622	7.64e+000	6.52e-002	1.02e-002	1.59e+018	1.34e-009	1.71290e-002	4.27332e-005	2.12e+009	4.20e+006	1.99e+010	2.90e-016	6.44e+010	3.57e+010	4.25e+009	4.18e+010	2.93e-016	2.01e+014	3.01e+014	4.91e+012	8.51e+014	4.80e+010	1.94e+011	5.87e+013	1.59e+018	
1.0448992e-004	6.9161648e-007	1.55e-011	6.88e-009	55.33	50.0	304.5	51658.8	0.00e+000	54.468	1.885	9.93e+000	6.76e-002	1.23e-002	1.59e+018	1.34e-009	1.71242e-002	4.27182e-005	2.13e+009	4.24e+006	1.99e+010	2.92e-016	6.50e+010	3.58e+010	4.31e+009	4.22e+010	2.95e-016	2.04e+014	3.05e+014	4.87e+012	8.65e+014	6.52e+010	1.95e+011	6.04e+013	1.59e+018	
1.0616616e-004	6.9700369e-007	1.65e-011	5.00e-009	55.76	50.0	304.6	12453.7	0.00e+000	54.383	-1.844	9.98e+000	7.17e-002	1.32e-002	1.59e+018	1.33e-009	1.71198e-002	4.27040e-005	2.11e+009	4.25e+006	1.99e+010	2.94e-016	6.56e+010	3.58e+010	4.37e+009	4.27e+010	2.97e-016	2.08e+014	3.09e+014	4.78e+012	8.77e+014	6.57e+010	1.83e+011	6.20e+013	1.58e+018	
1.0759534e-004	7.0238653e-007	1.64e-011	3.84e-009	56.19	50.0	304.6	13871.8	0.00e+000	54.181	1.846	1.01e+001	7.09e-002	1.32e-002	1.59e+018	1.31e-009	1.71162e-002	4.26924e-005	2.09e+009	4.26e+006	1.98e+010	2.96e-016	6.62e+010	3.59e+010	4.43e+009	4.31e+010	2.99e-016	2.10e+014	3.12e+014	4.63e+012	8.88e+014	6.67e+010	1.71e+011	6.33e+013	1.58e+018	
1.0863028e-004	7.0768762e-007	1.69e-011	4.94e-010	56.62	50.0	304.7	28828.4	0.00e+000	54.502	-1.853	1.05e+001	7.37e-002	1.42e-002	1.59e+018	1.29e-009	1.71135e-002	4.26838e-005	2.05e+009	4.24e+006	1.98e+010	2.98e-016	6.67e+010	3.60e+010	4.49e+009	4.35e+010	3.02e-016	2.13e+014	3.14e+014	4.62e+012	8.95e+014	5.22e+010	1.65e+011	6.43e+013	1.58e+018	
1.0880362e-004	7.1300349e-007	2.77e-011	6.66e-010	57.04	50.0	304.7	10929.8	0.00e+000	35.400	1.064	3.54e+000	7.85e-002	7.84e-003	1.59e+018	1.28e-009	1.71130e-002	4.26824e-005	2.03e+009	4.24e+006	1.98e+010	3.01e-016	6.73e+010	3.61e+010	4.56e+009	4.40e+010	3.04e-016	2.13e+014	3.15e+014	4.61e+012	8.97e+014	7.12e+009	1.65e+011	6.45e+013	1.58e+018	
1.0903725e-004	7.1796033e-007	1.84e-011	8.97e-010	57.44	50.0	304.7	107798.0	0.00e+000	39.852	1.254	4.72e+000	5.88e-002	6.97e-003	1.59e+018	1.33e-009	1.71124e-002	4.26803e-005	2.10e+009	4.49e+006	1.99e+010	3.03e-016	6.79e+010	3.62e+010	4.62e+009	4.44e+010	3.06e-016	2.13e+014	3.15e+014	4.68e+012	8.99e+014	3.80e+010	1.70e+011	6.47e+013	1.58e+018	
1.0935215e-004	7.2336549e-007	1.62e-011	1.21e-009	57.87	50.0	304.7	11682.5	0.00e+000	53.352	-1.815	9.32e+000	6.92e-002	1.21e-002	1.59e+018	1.35e-009	1.71115e-002	4.26776e-005	2.15e+009	4.57e+006	2.00e+010	3.05e-016	6.85e+010	3.63e+010	4.69e+009	4.49e+010	3.08e-016	2.14e+014	3.16e+014	4.70e+012	9.01e+014	6.28e+010	1.73e+011	6.50e+013	1.58e+018	
1.0977659e-004	7.2873545e-007	1.57e-011	1.63e-009	58.30	50.0	304.7	46638.5	0.00e+000	54.603	1.868	9.94e+000	6.88e-002	1.25e-002	1.59e+018	1.35e-009	1.71104e-002	4.26740e-005	2.13e+009	4.58e+006	1.99e+010	3.07e-016	6.91e+010	3.64e+010	4.75e+009	4.53e+010	3.10e-016	2.15e+014	3.17e+014	4.70e+012	9.05e+014	6.54e+010	1.74e+011	6.54e+013	1.58e+018	
1.1034867e-004	7.3410019e-007	1.66e-011	2.20e-009	58.73	50.0	304.8	16415.1	0.00e+000	54.598	-1.828	1.00e+001	7.25e-002	1.33e-002	1.59e+018	1.34e-009	1.71089e-002	4.26691e-005	2.12e+009	4.57e+006	1.99e+010	3.09e-016	6.97e+010	3.64e+010	4.82e+009	4.58e+010	3.12e-016	2.16e+014	3.18e+014	4.70e+012	9.09e+014	6.64e+010	1.74e+011	6.59e+013	1.58e+018	
1.1111519e-004	7.3948751e-007	1.67e-011	2.91e-009	59.16	50.0	304.8	14216.7	0.00e+000	54.378	1.838	1.02e+001	7.25e-002	1.36e-002	1.58e+018	1.31e-009	1.71069e-002	4.26628e-005	2.08e+009	4.54e+006	1.99e+010	3.12e-016	7.03e+010	3.65e+010	4.88e+009	4.62e+010	3.15e-016	2.18e+014	3.20e+014	4.66e+012	9.15e+014	6.80e+010	1.71e+011	6.67e+013	1.58e+018	
1.1211763e-004	7.4478027e-007	1.70e-011	3.45e-009	59.58	50.0	304.8	53413.7	0.00e+000	54.262	-1.799	1.05e+001	7.38e-002	1.42e-002	1.58e+018	1.29e-009	1.71043e-002	4.26544e-005	2.04e+009	4.49e+006	1.98e+010	3.14e-016	7.09e+010	3.66e+010	4.95e+009	4.67e+010	3.17e-016	2.20e+014	3.22e+014	4.62e+012	9.22e+014	6.88e+010	1.64e+011	6.76e+013	1.58e+018	
1.1332752e-004	7.4987602e-007	2.26e-011	4.65e-009	59.99	50.0	304.9	12571.6	0.00e+000	11.304	-0.234	2.96e-001	2.04e-002	5.35e-004	1.58e+018	1.30e-009	1.71010e-002	4.26436e-005	2.06e+009	4.61e+006	1.99e+010	3.16e-016	7.14e+010	3.67e+010	5.02e+009	4.71e+010	3.19e-016	2.22e+014	3.25e+014	4.73e+012	9.32e+014	7.84e+008	1.68e+011	6.87e+013	1.58e+018	
1.1484005e-004	7.5505399e-007	1.63e-011	5.78e-009	60.40	50.0	305.0	130114.3	0.00e+000	48.842	1.634	7.53e+000	6.38e-002	9.84e-003	1.58e+018	1.36e-009	1.70968e-002	4.26300e-005	2.15e+009	4.82e+006	2.00e+010	3.18e-016	7.20e+010	3.68e+010	5.08e+009	4.75e+010	3.21e-016	2.25e+014	3.29e+014	4.93e+012	9.45e+014	4.71e+010	1.87e+011	7.02e+013	1.58e+018	
1.1583537e-004	7.6048280e-007	1.61e-011	3.12e-009	60.84	50.0	305.0	14131.3	0.00e+000	54.985	-1.873	9.93e+000	7.09e-002	1.28e-002	1.58e+018	1.36e-009	1.70942e-002	4.26216e-005	2.16e+009	4.86e+006	2.00e+010	3.20e-016	7.26e+010	3.68e+010	5.15e+009	4.80e+010	3.23e-016	2.27e+014	3.31e+014	4.84e+012	9.52e+014	6.52e+010	1.78e+011	7.11e+013	1.58e+018	
