E/N,Td	Vdr,cm/s	Te,eV	Mue*N,1/(cm*s*V)	De*N,1/(cm*s)		MuE*N,1/(cm*s*V)	DE*N,1/(cm*s)	(R1)e+O->e+O[1D]	(R2)e+O[1D]->e+O	(R3)e+O->e+O[1S]	(R4)e+O[1S]->e+O	(R5)e+O2->e+O2[a]	(R6)e+O2[a]->e+O2	(R7)e+O2->e+O2[b]	(R8)e+O2[b]->e+O2	(R9)e+O2[a]->e+O2[b]	(R10)e+O2[b]->e+O2[a]	(R11)e+O2->e+O2[Hz]	(R12)e+O2[Hz]->e+O2	(R13)e+O2->e+O+O	(R14)e+O2->e+O+O[1D]	(R15)e+O2->e+O+O[1S]	(R16)e+O2->O+O-	(R17)e+O2->O2++e+e	(R18)e+O->O++e+e	(R19)e+O2->O2++e+e	
75.00	1.196e+007	2.783e+000	1.595e+022	5.422e+022	2.303e+022	6.075e+022	3.822e-009	1.327e-008	1.280e-010	5.849e-009	5.544e-010	1.178e-009	1.656e-010	8.143e-010	1.883e-010	4.420e-010	6.135e-010	2.339e-009	1.883e-010	4.094e-010	7.034e-012	3.822e-011	4.566e-012	5.854e-012	3.290e-015	
80.00	1.248e+007	2.868e+000	1.560e+022	5.467e+022	2.252e+022	6.123e+022	3.931e-009	1.331e-008	1.376e-010	5.898e-009	5.707e-010	1.197e-009	1.699e-010	8.209e-010	1.916e-010	4.472e-010	6.390e-010	2.282e-009	2.152e-010	4.904e-010	9.122e-012	3.939e-011	6.785e-012	8.968e-012	7.116e-015	
85.00	1.299e+007	2.951e+000	1.528e+022	5.509e+022	2.206e+022	6.170e+022	4.032e-009	1.334e-008	1.468e-010	5.943e-009	5.858e-010	1.214e-009	1.740e-010	8.266e-010	1.946e-010	4.518e-010	6.616e-010	2.227e-009	2.429e-010	5.771e-010	1.152e-011	4.038e-011	9.676e-012	1.312e-011	1.412e-014	
90.00	1.349e+007	3.033e+000	1.499e+022	5.550e+022	2.164e+022	6.217e+022	4.123e-009	1.336e-008	1.558e-010	5.984e-009	5.998e-010	1.230e-009	1.777e-010	8.318e-010	1.973e-010	4.560e-010	6.815e-010	2.176e-009	2.711e-010	6.690e-010	1.422e-011	4.121e-011	1.333e-011	1.849e-011	2.610e-014	
95.00	1.399e+007	3.112e+000	1.473e+022	5.590e+022	2.125e+022	6.263e+022	4.207e-009	1.337e-008	1.645e-010	6.021e-009	6.128e-010	1.244e-009	1.811e-010	8.363e-010	1.998e-010	4.598e-010	6.991e-010	2.127e-009	2.996e-010	7.657e-010	1.722e-011	4.190e-011	1.784e-011	2.522e-011	4.542e-014	
100.00	1.448e+007	3.190e+000	1.448e+022	5.628e+022	2.089e+022	6.310e+022	4.285e-009	1.337e-008	1.729e-010	6.055e-009	6.249e-010	1.257e-009	1.843e-010	8.403e-010	2.021e-010	4.633e-010	7.146e-010	2.081e-009	3.284e-010	8.668e-010	2.053e-011	4.246e-011	2.329e-011	3.347e-011	7.508e-014	
105.00	1.497e+007	3.267e+000	1.425e+022	5.665e+022	2.057e+022	6.358e+022	4.355e-009	1.337e-008	1.811e-010	6.086e-009	6.362e-010	1.269e-009	1.872e-010	8.438e-010	2.042e-010	4.664e-010	7.281e-010	2.038e-009	3.573e-010	9.720e-010	2.412e-011	4.291e-011	2.975e-011	4.338e-011	1.188e-013	
110.00	1.545e+007	3.343e+000	1.405e+022	5.701e+022	2.026e+022	6.405e+022	4.420e-009	1.337e-008	1.890e-010	6.113e-009	6.466e-010	1.279e-009	1.900e-010	8.468e-010	2.062e-010	4.692e-010	7.398e-010	1.996e-009	3.863e-010	1.081e-009	2.800e-011	4.327e-011	3.731e-011	5.508e-011	1.809e-013	
115.00	1.593e+007	3.417e+000	1.385e+022	5.737e+022	1.998e+022	6.454e+022	4.479e-009	1.336e-008	1.966e-010	6.139e-009	6.563e-010	1.289e-009	1.925e-010	8.495e-010	2.079e-010	4.717e-010	7.500e-010	1.957e-009	4.152e-010	1.193e-009	3.216e-011	4.354e-011	4.604e-011	6.869e-011	2.666e-013	
120.00	1.641e+007	3.490e+000	1.368e+022	5.772e+022	1.972e+022	6.503e+022	4.534e-009	1.334e-008	2.040e-010	6.162e-009	6.654e-010	1.297e-009	1.949e-010	8.518e-010	2.096e-010	4.740e-010	7.587e-010	1.920e-009	4.440e-010	1.309e-009	3.658e-011	4.373e-011	5.599e-011	8.431e-011	3.815e-013	
125.00	1.689e+007	3.563e+000	1.351e+022	5.806e+022	1.948e+022	6.552e+022	4.584e-009	1.332e-008	2.112e-010	6.183e-009	6.738e-010	1.305e-009	1.971e-010	8.538e-010	2.111e-010	4.761e-010	7.662e-010	1.884e-009	4.725e-010	1.427e-009	4.125e-011	4.385e-011	6.722e-011	1.020e-010	5.321e-013	
130.00	1.736e+007	3.634e+000	1.336e+022	5.840e+022	1.925e+022	6.603e+022	4.629e-009	1.330e-008	2.181e-010	6.202e-009	6.816e-010	1.312e-009	1.992e-010	8.555e-010	2.125e-010	4.780e-010	7.724e-010	1.850e-009	5.008e-010	1.547e-009	4.617e-011	4.392e-011	7.980e-011	1.219e-010	7.254e-013	
135.00	1.784e+007	3.705e+000	1.321e+022	5.874e+022	1.904e+022	6.654e+022	4.671e-009	1.328e-008	2.248e-010	6.219e-009	6.888e-010	1.319e-009	2.011e-010	8.569e-010	2.138e-010	4.796e-010	7.776e-010	1.818e-009	5.288e-010	1.670e-009	5.133e-011	4.393e-011	9.377e-011	1.441e-010	9.689e-013	
140.00	1.831e+007	3.775e+000	1.308e+022	5.907e+022	1.885e+022	6.706e+022	4.709e-009	1.325e-008	2.313e-010	6.234e-009	6.956e-010	1.324e-009	2.028e-010	8.581e-010	2.149e-010	4.811e-010	7.818e-010	1.787e-009	5.565e-010	1.795e-009	5.671e-011	4.390e-011	1.092e-010	1.686e-010	1.271e-012	
145.00	1.879e+007	3.844e+000	1.296e+022	5.941e+022	1.866e+022	6.758e+022	4.744e-009	1.322e-008	2.376e-010	6.248e-009	7.019e-010	1.330e-009	2.045e-010	8.591e-010	2.160e-010	4.825e-010	7.851e-010	1.758e-009	5.837e-010	1.922e-009	6.230e-011	4.382e-011	1.260e-010	1.954e-010	1.640e-012	
150.00	1.926e+007	3.913e+000	1.284e+022	5.974e+022	1.849e+022	6.812e+022	4.775e-009	1.319e-008	2.436e-010	6.260e-009	7.077e-010	1.334e-009	2.060e-010	8.598e-010	2.170e-010	4.837e-010	7.877e-010	1.730e-009	6.105e-010	2.050e-009	6.809e-011	4.371e-011	1.444e-010	2.246e-010	2.084e-012	
155.00	1.974e+007	3.981e+000	1.273e+022	6.007e+022	1.833e+022	6.866e+022	4.804e-009	1.316e-008	2.495e-010	6.271e-009	7.131e-010	1.338e-009	2.075e-010	8.604e-010	2.179e-010	4.847e-010	7.895e-010	1.703e-009	6.368e-010	2.180e-009	7.407e-011	4.357e-011	1.643e-010	2.562e-010	2.614e-012	
160.00	2.021e+007	4.048e+000	1.263e+022	6.039e+022	1.818e+022	6.921e+022	4.830e-009	1.312e-008	2.552e-010	6.280e-009	7.181e-010	1.342e-009	2.088e-010	8.608e-010	2.187e-010	4.857e-010	7.907e-010	1.677e-009	6.626e-010	2.311e-009	8.024e-011	4.340e-011	1.858e-010	2.902e-010	3.238e-012	
165.00	2.069e+007	4.115e+000	1.254e+022	6.072e+022	1.803e+022	6.977e+022	4.853e-009	1.308e-008	2.606e-010	6.289e-009	7.228e-010	1.345e-009	2.101e-010	8.611e-010	2.195e-010	4.865e-010	7.913e-010	1.653e-009	6.880e-010	2.444e-009	8.658e-011	4.320e-011	2.088e-010	3.266e-010	3.967e-012	
170.00	2.117e+007	4.181e+000	1.245e+022	6.105e+022	1.790e+022	7.033e+022	4.875e-009	1.305e-008	2.659e-010	6.296e-009	7.271e-010	1.348e-009	2.112e-010	8.612e-010	2.202e-010	4.872e-010	7.913e-010	1.629e-009	7.128e-010	2.577e-009	9.307e-011	4.299e-011	2.334e-010	3.655e-010	4.809e-012	
175.00	2.165e+007	4.246e+000	1.237e+022	6.138e+022	1.777e+022	7.090e+022	4.894e-009	1.301e-008	2.710e-010	6.302e-009	7.311e-010	1.350e-009	2.123e-010	8.611e-010	2.208e-010	4.878e-010	7.909e-010	1.607e-009	7.371e-010	2.710e-009	9.972e-011	4.275e-011	2.597e-010	4.067e-010	5.775e-012	
180.00	2.213e+007	4.312e+000	1.229e+022	6.170e+022	1.765e+022	7.148e+022	4.911e-009	1.297e-008	2.760e-010	6.307e-009	7.348e-010	1.352e-009	2.133e-010	8.610e-010	2.214e-010	4.884e-010	7.901e-010	1.585e-009	7.608e-010	2.845e-009	1.065e-010	4.250e-011	2.875e-010	4.504e-010	6.875e-012	
185.00	2.261e+007	4.376e+000	1.222e+022	6.203e+022	1.753e+022	7.207e+022	4.926e-009	1.293e-008	2.807e-010	6.312e-009	7.382e-010	1.354e-009	2.142e-010	8.608e-010	2.219e-010	4.888e-010	7.889e-010	1.564e-009	7.840e-010	2.980e-009	1.134e-010	4.224e-011	3.170e-010	4.964e-010	8.118e-012	
190.00	2.309e+007	4.441e+000	1.215e+022	6.236e+022	1.742e+022	7.266e+022	4.939e-009	1.289e-008	2.853e-010	6.315e-009	7.414e-010	1.355e-009	2.151e-010	8.604e-010	2.224e-010	4.892e-010	7.874e-010	1.544e-009	8.066e-010	3.115e-009	1.205e-010	4.196e-011	3.481e-010	5.448e-010	9.515e-012	
195.00	2.357e+007	4.504e+000	1.209e+022	6.268e+022	1.732e+022	7.325e+022	4.951e-009	1.285e-008	2.898e-010	6.318e-009	7.443e-010	1.356e-009	2.159e-010	8.600e-010	2.228e-010	4.895e-010	7.855e-010	1.525e-009	8.287e-010	3.250e-009	1.276e-010	4.167e-011	3.808e-010	5.954e-010	1.107e-011	
