E/N,Td	Vdr,cm/s	Te,eV	Mue*N,1/(cm*s*V)	De*N,1/(cm*s)		MuE*N,1/(cm*s*V)	DE*N,1/(cm*s)	(R1)e+O->e+O[1D]	(R2)e+O[1D]->e+O	(R3)e+O->e+O[1S]	(R4)e+O[1S]->e+O	(R5)e+O2->e+O2[a]	(R6)e+O2[a]->e+O2	(R7)e+O2->e+O2[b]	(R8)e+O2[b]->e+O2	(R9)e+O2[a]->e+O2[b]	(R10)e+O2[b]->e+O2[a]	(R11)e+O2->e+O2[Hz]	(R12)e+O2[Hz]->e+O2	(R13)e+O2->e+O+O	(R14)e+O2->e+O+O[1D]	(R15)e+O2->e+O+O[1S]	(R16)e+O2->O+O-	(R17)e+O2->O2++e+e	(R18)e+O->O++e+e	(R19)e+O2->O2++e+e	
300.00	3.386e+007	5.768e+000	1.129e+022	6.970e+022	1.592e+022	8.667e+022	4.968e-009	1.195e-008	3.548e-010	6.258e-009	7.687e-010	1.342e-009	2.235e-010	8.399e-010	2.256e-010	4.864e-010	7.159e-010	1.246e-009	1.174e-009	6.031e-009	2.921e-010	3.528e-011	1.412e-009	2.098e-009	9.335e-011	
305.00	3.435e+007	5.825e+000	1.126e+022	7.004e+022	1.588e+022	8.732e+022	4.963e-009	1.191e-008	3.569e-010	6.252e-009	7.688e-010	1.340e-009	2.236e-010	8.388e-010	2.255e-010	4.860e-010	7.122e-010	1.236e-009	1.185e-009	6.156e-009	3.001e-010	3.500e-011	1.475e-009	2.185e-009	9.990e-011	
310.00	3.484e+007	5.881e+000	1.124e+022	7.038e+022	1.584e+022	8.797e+022	4.958e-009	1.187e-008	3.589e-010	6.246e-009	7.689e-010	1.339e-009	2.236e-010	8.376e-010	2.255e-010	4.856e-010	7.086e-010	1.227e-009	1.197e-009	6.281e-009	3.082e-010	3.473e-011	1.539e-009	2.272e-009	1.067e-010	
315.00	3.533e+007	5.938e+000	1.122e+022	7.071e+022	1.579e+022	8.861e+022	4.952e-009	1.183e-008	3.609e-010	6.240e-009	7.689e-010	1.337e-009	2.237e-010	8.364e-010	2.254e-010	4.852e-010	7.050e-010	1.218e-009	1.208e-009	6.405e-009	3.162e-010	3.446e-011	1.604e-009	2.361e-009	1.137e-010	
320.00	3.582e+007	5.994e+000	1.119e+022	7.105e+022	1.575e+022	8.926e+022	4.946e-009	1.179e-008	3.627e-010	6.234e-009	7.689e-010	1.335e-009	2.238e-010	8.353e-010	2.253e-010	4.848e-010	7.014e-010	1.210e-009	1.218e-009	6.527e-009	3.242e-010	3.419e-011	1.669e-009	2.451e-009	1.209e-010	
325.00	3.631e+007	6.050e+000	1.117e+022	7.139e+022	1.571e+022	8.990e+022	4.940e-009	1.176e-008	3.646e-010	6.227e-009	7.688e-010	1.334e-009	2.238e-010	8.341e-010	2.253e-010	4.844e-010	6.978e-010	1.201e-009	1.229e-009	6.649e-009	3.322e-010	3.393e-011	1.735e-009	2.541e-009	1.283e-010	
330.00	3.679e+007	6.106e+000	1.115e+022	7.172e+022	1.568e+022	9.054e+022	4.934e-009	1.172e-008	3.663e-010	6.221e-009	7.687e-010	1.332e-009	2.239e-010	8.329e-010	2.252e-010	4.840e-010	6.943e-010	1.193e-009	1.239e-009	6.770e-009	3.401e-010	3.368e-011	1.802e-009	2.631e-009	1.360e-010	
335.00	3.728e+007	6.161e+000	1.113e+022	7.206e+022	1.564e+022	9.117e+022	4.928e-009	1.168e-008	3.681e-010	6.214e-009	7.686e-010	1.330e-009	2.239e-010	8.318e-010	2.251e-010	4.836e-010	6.908e-010	1.185e-009	1.249e-009	6.890e-009	3.481e-010	3.343e-011	1.870e-009	2.723e-009	1.438e-010	
340.00	3.776e+007	6.216e+000	1.111e+022	7.239e+022	1.560e+022	9.180e+022	4.921e-009	1.164e-008	3.697e-010	6.208e-009	7.685e-010	1.329e-009	2.240e-010	8.306e-010	2.251e-010	4.832e-010	6.874e-010	1.177e-009	1.258e-009	7.009e-009	3.560e-010	3.318e-011	1.938e-009	2.814e-009	1.519e-010	
345.00	3.825e+007	6.271e+000	1.109e+022	7.273e+022	1.557e+022	9.243e+022	4.915e-009	1.161e-008	3.714e-010	6.201e-009	7.683e-010	1.327e-009	2.240e-010	8.295e-010	2.250e-010	4.828e-010	6.840e-010	1.169e-009	1.267e-009	7.127e-009	3.638e-010	3.294e-011	2.007e-009	2.906e-009	1.601e-010	
350.00	3.873e+007	6.325e+000	1.107e+022	7.306e+022	1.553e+022	9.305e+022	4.908e-009	1.157e-008	3.729e-010	6.194e-009	7.681e-010	1.325e-009	2.240e-010	8.283e-010	2.249e-010	4.824e-010	6.806e-010	1.161e-009	1.276e-009	7.245e-009	3.717e-010	3.270e-011	2.076e-009	2.999e-009	1.685e-010	
355.00	3.921e+007	6.379e+000	1.104e+022	7.339e+022	1.550e+022	9.367e+022	4.901e-009	1.153e-008	3.745e-010	6.187e-009	7.678e-010	1.323e-009	2.240e-010	8.272e-010	2.248e-010	4.819e-010	6.773e-010	1.154e-009	1.285e-009	7.361e-009	3.795e-010	3.246e-011	2.146e-009	3.092e-009	1.771e-010	
360.00	3.969e+007	6.433e+000	1.102e+022	7.372e+022	1.546e+022	9.428e+022	4.895e-009	1.150e-008	3.759e-010	6.181e-009	7.676e-010	1.322e-009	2.240e-010	8.261e-010	2.247e-010	4.815e-010	6.741e-010	1.146e-009	1.293e-009	7.476e-009	3.872e-010	3.223e-011	2.216e-009	3.185e-009	1.859e-010	
365.00	4.017e+007	6.487e+000	1.101e+022	7.405e+022	1.543e+022	9.489e+022	4.888e-009	1.146e-008	3.774e-010	6.174e-009	7.673e-010	1.320e-009	2.240e-010	8.250e-010	2.246e-010	4.811e-010	6.708e-010	1.139e-009	1.302e-009	7.590e-009	3.949e-010	3.201e-011	2.287e-009	3.278e-009	1.948e-010	
370.00	4.065e+007	6.540e+000	1.099e+022	7.438e+022	1.540e+022	9.549e+022	4.881e-009	1.143e-008	3.788e-010	6.167e-009	7.670e-010	1.318e-009	2.240e-010	8.238e-010	2.245e-010	4.807e-010	6.676e-010	1.132e-009	1.310e-009	7.703e-009	4.026e-010	3.179e-011	2.358e-009	3.371e-009	2.039e-010	
375.00	4.112e+007	6.593e+000	1.097e+022	7.471e+022	1.537e+022	9.609e+022	4.874e-009	1.139e-008	3.801e-010	6.160e-009	7.667e-010	1.316e-009	2.240e-010	8.227e-010	2.244e-010	4.803e-010	6.645e-010	1.125e-009	1.317e-009	7.816e-009	4.102e-010	3.157e-011	2.429e-009	3.465e-009	2.131e-010	
380.00	4.160e+007	6.645e+000	1.095e+022	7.503e+022	1.534e+022	9.669e+022	4.867e-009	1.136e-008	3.815e-010	6.153e-009	7.664e-010	1.315e-009	2.240e-010	8.216e-010	2.243e-010	4.799e-010	6.614e-010	1.118e-009	1.325e-009	7.927e-009	4.178e-010	3.136e-011	2.501e-009	3.558e-009	2.225e-010	
385.00	4.207e+007	6.697e+000	1.093e+022	7.536e+022	1.531e+022	9.727e+022	4.861e-009	1.133e-008	3.828e-010	6.147e-009	7.661e-010	1.313e-009	2.240e-010	8.206e-010	2.242e-010	4.795e-010	6.584e-010	1.111e-009	1.332e-009	8.037e-009	4.254e-010	3.115e-011	2.572e-009	3.652e-009	2.319e-010	
390.00	4.254e+007	6.749e+000	1.091e+022	7.568e+022	1.528e+022	9.785e+022	4.854e-009	1.129e-008	3.840e-010	6.140e-009	7.658e-010	1.311e-009	2.240e-010	8.195e-010	2.241e-010	4.790e-010	6.554e-010	1.105e-009	1.340e-009	8.146e-009	4.329e-010	3.094e-011	2.644e-009	3.745e-009	2.416e-010	
395.00	4.301e+007	6.801e+000	1.089e+022	7.600e+022	1.525e+022	9.843e+022	4.847e-009	1.126e-008	3.852e-010	6.133e-009	7.654e-010	1.309e-009	2.240e-010	8.184e-010	2.240e-010	4.786e-010	6.524e-010	1.098e-009	1.347e-009	8.254e-009	4.403e-010	3.074e-011	2.716e-009	3.838e-009	2.513e-010	
400.00	4.348e+007	6.852e+000	1.087e+022	7.632e+022	1.522e+022	9.899e+022	4.840e-009	1.123e-008	3.864e-010	6.126e-009	7.651e-010	1.308e-009	2.239e-010	8.174e-010	2.239e-010	4.782e-010	6.495e-010	1.092e-009	1.353e-009	8.361e-009	4.477e-010	3.054e-011	2.788e-009	3.931e-009	2.611e-010	
405.00	4.395e+007	6.902e+000	1.085e+022	7.664e+022	1.520e+022	9.956e+022	4.833e-009	1.120e-008	3.876e-010	6.119e-009	7.647e-010	1.306e-009	2.239e-010	8.163e-010	2.238e-010	4.778e-010	6.466e-010	1.085e-009	1.360e-009	8.467e-009	4.550e-010	3.035e-011	2.860e-009	4.024e-009	2.710e-010	
410.00	4.442e+007	6.953e+000	1.083e+022	7.696e+022	1.517e+022	1.001e+023	4.826e-009	1.117e-008	3.887e-010	6.113e-009	7.643e-010	1.304e-009	2.239e-010	8.153e-010	2.237e-010	4.774e-010	6.438e-010	1.079e-009	1.366e-009	8.572e-009	4.623e-010	3.016e-011	2.932e-009	4.117e-009	2.810e-010	
415.00	4.488e+007	7.003e+000	1.081e+022	7.727e+022	1.514e+022	1.007e+023	4.820e-009	1.113e-008	3.898e-010	6.106e-009	7.639e-010	1.303e-009	2.239e-010	8.143e-010	2.236e-010	4.770e-010	6.410e-010	1.073e-009	1.373e-009	8.676e-009	4.695e-010	2.997e-011	3.004e-009	4.210e-009	2.911e-010	
420.00	4.534e+007	7.052e+000	1.080e+022	7.759e+022	1.512e+022	1.012e+023	4.813e-009	1.110e-008	3.909e-010	6.099e-009	7.636e-010	1.301e-009	2.238e-010	8.133e-010	2.235e-010	4.766e-010	6.383e-010	1.067e-009	1.379e-009	8.779e-009	4.766e-010	2.978e-011	3.076e-009	4.302e-009	3.013e-010	
425.00	4.581e+007	7.102e+000	1.078e+022	7.790e+022	1.509e+022	1.017e+023	4.806e-009	1.107e-008	3.920e-010	6.093e-009	7.632e-010	1.299e-009	2.238e-010	8.123e-010	2.234e-010	4.763e-010	6.356e-010	1.061e-009	1.385e-009	8.881e-009	4.837e-010	2.960e-011	3.148e-009	4.394e-009	3.115e-010	
430.00	4.627e+007	7.151e+000	1.076e+022	7.821e+022	1.507e+022	1.023e+023	4.800e-009	1.104e-008	3.930e-010	6.086e-009	7.628e-010	1.298e-009	2.238e-010	8.113e-010	2.233e-010	4.759e-010	6.330e-010	1.055e-009	1.391e-009	8.982e-009	4.908e-010	2.943e-011	3.220e-009	4.485e-009	3.218e-010	
435.00	4.673e+007	7.199e+000	1.074e+022	7.851e+022	1.504e+022	1.028e+023	4.793e-009	1.101e-008	3.940e-010	6.080e-009	7.624e-010	1.296e-009	2.237e-010	8.103e-010	2.232e-010	4.755e-010	6.304e-010	1.050e-009	1.397e-009	9.082e-009	4.978e-010	2.925e-011	3.292e-009	4.576e-009	3.322e-010	
440.00	4.718e+007	7.247e+000	1.072e+022	7.882e+022	1.502e+022	1.033e+023	4.786e-009	1.099e-008	3.950e-010	6.073e-009	7.620e-010	1.295e-009	2.237e-010	8.094e-010	2.231e-010	4.751e-010	6.278e-010	1.044e-009	1.402e-009	9.181e-009	5.047e-010	2.908e-011	3.363e-009	4.667e-009	3.426e-010	
445.00	4.764e+007	7.295e+000	1.071e+022	7.912e+022	1.500e+022	1.038e+023	4.780e-009	1.096e-008	3.959e-010	6.067e-009	7.616e-010	1.293e-009	2.237e-010	8.084e-010	2.230e-010	4.747e-010	6.253e-010	1.038e-009	1.408e-009	9.279e-009	5.116e-010	2.892e-011	3.434e-009	4.757e-009	3.530e-010	
450.00	4.809e+007	7.342e+000	1.069e+022	7.942e+022	1.497e+022	1.043e+023	4.774e-009	1.093e-008	3.969e-010	6.060e-009	7.613e-010	1.291e-009	2.236e-010	8.075e-010	2.229e-010	4.744e-010	6.228e-010	1.033e-009	1.413e-009	9.376e-009	5.184e-010	2.875e-011	3.505e-009	4.847e-009	3.635e-010	
455.00	4.855e+007	7.389e+000	1.067e+022	7.972e+022	1.495e+022	1.048e+023	4.767e-009	1.090e-008	3.978e-010	6.054e-009	7.609e-010	1.290e-009	2.236e-010	8.065e-010	2.228e-010	4.740e-010	6.204e-010	1.027e-009	1.418e-009	9.471e-009	5.251e-010	2.859e-011	3.576e-009	4.936e-009	3.740e-010	
460.00	4.900e+007	7.435e+000	1.065e+022	8.001e+022	1.493e+022	1.053e+023	4.761e-009	1.087e-008	3.987e-010	6.047e-009	7.605e-010	1.288e-009	2.236e-010	8.056e-010	2.227e-010	4.736e-010	6.180e-010	1.022e-009	1.423e-009	9.566e-009	5.318e-010	2.843e-011	3.647e-009	5.025e-009	3.845e-010	
465.00	4.945e+007	7.481e+000	1.063e+022	8.031e+022	1.491e+022	1.058e+023	4.755e-009	1.085e-008	3.996e-010	6.041e-009	7.601e-010	1.287e-009	2.235e-010	8.047e-010	2.226e-010	4.733e-010	6.156e-010	1.017e-009	1.428e-009	9.660e-009	5.384e-010	2.828e-011	3.717e-009	5.113e-009	3.951e-010	
470.00	4.990e+007	7.527e+000	1.062e+022	8.060e+022	1.489e+022	1.062e+023	4.748e-009	1.082e-008	4.004e-010	6.035e-009	7.597e-010	1.285e-009	2.235e-010	8.038e-010	2.225e-010	4.729e-010	6.133e-010	1.011e-009	1.433e-009	9.753e-009	5.450e-010	2.812e-011	3.787e-009	5.201e-009	4.057e-010	
475.00	5.035e+007	7.572e+000	1.060e+022	8.089e+022	1.487e+022	1.067e+023	4.742e-009	1.079e-008	4.013e-010	6.029e-009	7.593e-010	1.284e-009	2.234e-010	8.029e-010	2.224e-010	4.726e-010	6.110e-010	1.006e-009	1.438e-009	9.844e-009	5.515e-010	2.797e-011	3.856e-009	5.288e-009	4.162e-010	
480.00	5.080e+007	7.617e+000	1.058e+022	8.117e+022	1.485e+022	1.072e+023	4.736e-009	1.077e-008	4.021e-010	6.023e-009	7.589e-010	1.282e-009	2.234e-010	8.020e-010	2.223e-010	4.722e-010	6.087e-010	1.001e-009	1.443e-009	9.935e-009	5.579e-010	2.783e-011	3.925e-009	5.374e-009	4.268e-010	
485.00	5.124e+007	7.662e+000	1.057e+022	8.146e+022	1.483e+022	1.076e+023	4.730e-009	1.074e-008	4.029e-010	6.016e-009	7.586e-010	1.281e-009	2.234e-010	8.012e-010	2.222e-010	4.719e-010	6.065e-010	9.962e-010	1.447e-009	1.002e-008	5.643e-010	2.768e-011	3.994e-009	5.460e-009	4.374e-010	
490.00	5.169e+007	7.706e+000	1.055e+022	8.174e+022	1.481e+022	1.081e+023	4.724e-009	1.072e-008	4.037e-010	6.010e-009	7.582e-010	1.279e-009	2.233e-010	8.003e-010	2.221e-010	4.716e-010	6.044e-010	9.912e-010	1.452e-009	1.011e-008	5.706e-010	2.754e-011	4.063e-009	5.546e-009	4.479e-010	
495.00	5.213e+007	7.749e+000	1.053e+022	8.202e+022	1.479e+022	1.085e+023	4.718e-009	1.069e-008	4.045e-010	6.004e-009	7.578e-010	1.278e-009	2.233e-010	7.995e-010	2.220e-010	4.712e-010	6.022e-010	9.863e-010	1.456e-009	1.020e-008	5.768e-010	2.740e-011	4.131e-009	5.630e-009	4.585e-010	
500.00	5.257e+007	7.793e+000	1.051e+022	8.230e+022	1.477e+022	1.090e+023	4.713e-009	1.067e-008	4.052e-010	5.999e-009	7.574e-010	1.277e-009	2.233e-010	7.987e-010	2.219e-010	4.709e-010	6.001e-010	9.815e-010	1.460e-009	1.029e-008	5.830e-010	2.726e-011	4.198e-009	5.714e-009	4.690e-010	
505.00	5.301e+007	7.835e+000	1.050e+022	8.257e+022	1.475e+022	1.094e+023	4.707e-009	1.064e-008	4.060e-010	5.993e-009	7.571e-010	1.275e-009	2.232e-010	7.978e-010	2.218e-010	4.706e-010	5.980e-010	9.767e-010	1.465e-009	1.037e-008	5.891e-010	2.713e-011	4.265e-009	5.798e-009	4.795e-010	
510.00	5.345e+007	7.878e+000	1.048e+022	8.284e+022	1.474e+022	1.098e+023	4.701e-009	1.062e-008	4.067e-010	5.987e-009	7.567e-010	1.274e-009	2.232e-010	7.970e-010	2.217e-010	4.702e-010	5.960e-010	9.720e-010	1.469e-009	1.046e-008	5.952e-010	2.699e-011	4.332e-009	5.881e-009	4.900e-010	
515.00	5.389e+007	7.920e+000	1.046e+022	8.311e+022	1.472e+022	1.102e+023	4.695e-009	1.059e-008	4.074e-010	5.981e-009	7.563e-010	1.273e-009	2.232e-010	7.962e-010	2.217e-010	4.699e-010	5.940e-010	9.674e-010	1.473e-009	1.054e-008	6.012e-010	2.686e-011	4.399e-009	5.963e-009	5.005e-010	
520.00	5.433e+007	7.961e+000	1.045e+022	8.338e+022	1.470e+022	1.106e+023	4.690e-009	1.057e-008	4.081e-010	5.976e-009	7.559e-010	1.271e-009	2.231e-010	7.954e-010	2.216e-010	4.696e-010	5.920e-010	9.628e-010	1.477e-009	1.063e-008	6.071e-010	2.674e-011	4.464e-009	6.044e-009	5.109e-010	
525.00	5.477e+007	8.002e+000	1.043e+022	8.364e+022	1.468e+022	1.110e+023	4.684e-009	1.055e-008	4.088e-010	5.970e-009	7.556e-010	1.270e-009	2.231e-010	7.946e-010	2.215e-010	4.693e-010	5.900e-010	9.583e-010	1.481e-009	1.071e-008	6.130e-010	2.661e-011	4.530e-009	6.125e-009	5.214e-010	
530.00	5.520e+007	8.043e+000	1.042e+022	8.391e+022	1.467e+022	1.114e+023	4.679e-009	1.052e-008	4.095e-010	5.964e-009	7.552e-010	1.269e-009	2.230e-010	7.939e-010	2.214e-010	4.690e-010	5.881e-010	9.538e-010	1.484e-009	1.079e-008	6.188e-010	2.649e-011	4.595e-009	6.205e-009	5.317e-010	
535.00	5.564e+007	8.084e+000	1.040e+022	8.417e+022	1.465e+022	1.118e+023	4.674e-009	1.050e-008	4.102e-010	5.959e-009	7.549e-010	1.267e-009	2.230e-010	7.931e-010	2.213e-010	4.687e-010	5.862e-010	9.494e-010	1.488e-009	1.087e-008	6.245e-010	2.636e-011	4.659e-009	6.285e-009	5.421e-010	
540.00	5.607e+007	8.124e+000	1.038e+022	8.442e+022	1.463e+022	1.122e+023	4.668e-009	1.048e-008	4.108e-010	5.953e-009	7.545e-010	1.266e-009	2.230e-010	7.924e-010	2.212e-010	4.684e-010	5.844e-010	9.451e-010	1.492e-009	1.095e-008	6.302e-010	2.624e-011	4.723e-009	6.363e-009	5.524e-010	
545.00	5.650e+007	8.163e+000	1.037e+022	8.468e+022	1.462e+022	1.126e+023	4.663e-009	1.046e-008	4.115e-010	5.948e-009	7.542e-010	1.265e-009	2.229e-010	7.916e-010	2.211e-010	4.681e-010	5.826e-010	9.408e-010	1.495e-009	1.103e-008	6.359e-010	2.613e-011	4.787e-009	6.441e-009	5.626e-010	
550.00	5.694e+007	8.202e+000	1.035e+022	8.493e+022	1.460e+022	1.129e+023	4.658e-009	1.044e-008	4.121e-010	5.943e-009	7.538e-010	1.264e-009	2.229e-010	7.909e-010	2.211e-010	4.678e-010	5.807e-010	9.365e-010	1.499e-009	1.110e-008	6.414e-010	2.601e-011	4.849e-009	6.519e-009	5.728e-010	
555.00	5.737e+007	8.241e+000	1.034e+022	8.518e+022	1.459e+022	1.133e+023	4.653e-009	1.041e-008	4.127e-010	5.937e-009	7.535e-010	1.262e-009	2.229e-010	7.902e-010	2.210e-010	4.675e-010	5.790e-010	9.323e-010	1.502e-009	1.118e-008	6.469e-010	2.590e-011	4.912e-009	6.595e-009	5.829e-010	
560.00	5.780e+007	8.279e+000	1.032e+022	8.543e+022	1.457e+022	1.137e+023	4.648e-009	1.039e-008	4.133e-010	5.932e-009	7.531e-010	1.261e-009	2.228e-010	7.895e-010	2.209e-010	4.672e-010	5.772e-010	9.282e-010	1.506e-009	1.126e-008	6.524e-010	2.578e-011	4.974e-009	6.671e-009	5.930e-010	
565.00	5.823e+007	8.317e+000	1.031e+022	8.567e+022	1.456e+022	1.140e+023	4.643e-009	1.037e-008	4.139e-010	5.927e-009	7.528e-010	1.260e-009	2.228e-010	7.887e-010	2.208e-010	4.669e-010	5.755e-010	9.241e-010	1.509e-009	1.133e-008	6.578e-010	2.567e-011	5.035e-009	6.746e-009	6.031e-010	
570.00	5.866e+007	8.355e+000	1.029e+022	8.591e+022	1.455e+022	1.144e+023	4.638e-009	1.035e-008	4.145e-010	5.922e-009	7.525e-010	1.259e-009	2.228e-010	7.881e-010	2.207e-010	4.667e-010	5.738e-010	9.201e-010	1.512e-009	1.141e-008	6.631e-010	2.556e-011	5.096e-009	6.821e-009	6.131e-010	
575.00	5.908e+007	8.392e+000	1.028e+022	8.615e+022	1.453e+022	1.147e+023	4.633e-009	1.033e-008	4.151e-010	5.917e-009	7.521e-010	1.258e-009	2.227e-010	7.874e-010	2.207e-010	4.664e-010	5.721e-010	9.161e-010	1.516e-009	1.148e-008	6.684e-010	2.546e-011	5.156e-009	6.895e-009	6.230e-010	
580.00	5.951e+007	8.429e+000	1.026e+022	8.639e+022	1.452e+022	1.150e+023	4.628e-009	1.031e-008	4.156e-010	5.912e-009	7.518e-010	1.256e-009	2.227e-010	7.867e-010	2.206e-010	4.661e-010	5.705e-010	9.122e-010	1.519e-009	1.155e-008	6.736e-010	2.535e-011	5.216e-009	6.968e-009	6.329e-010	
585.00	5.994e+007	8.465e+000	1.025e+022	8.663e+022	1.450e+022	1.154e+023	4.623e-009	1.029e-008	4.162e-010	5.907e-009	7.515e-010	1.255e-009	2.227e-010	7.860e-010	2.205e-010	4.659e-010	5.689e-010	9.083e-010	1.522e-009	1.162e-008	6.787e-010	2.525e-011	5.276e-009	7.040e-009	6.427e-010	
590.00	6.036e+007	8.501e+000	1.023e+022	8.686e+022	1.449e+022	1.157e+023	4.618e-009	1.027e-008	4.168e-010	5.902e-009	7.512e-010	1.254e-009	2.226e-010	7.854e-010	2.204e-010	4.656e-010	5.673e-010	9.045e-010	1.525e-009	1.169e-008	6.838e-010	2.515e-011	5.334e-009	7.112e-009	6.525e-010	
595.00	6.079e+007	8.537e+000	1.022e+022	8.709e+022	1.448e+022	1.160e+023	4.614e-009	1.025e-008	4.173e-010	5.897e-009	7.509e-010	1.253e-009	2.226e-010	7.847e-010	2.204e-010	4.653e-010	5.657e-010	9.007e-010	1.528e-009	1.176e-008	6.889e-010	2.505e-011	5.393e-009	7.183e-009	6.621e-010	
600.00	6.121e+007	8.572e+000	1.020e+022	8.732e+022	1.446e+022	1.163e+023	4.609e-009	1.023e-008	4.178e-010	5.892e-009	7.505e-010	1.252e-009	2.226e-010	7.841e-010	2.203e-010	4.651e-010	5.641e-010	8.970e-010	1.531e-009	1.183e-008	6.939e-010	2.495e-011	5.450e-009	7.253e-009	6.718e-010	
605.00	6.164e+007	8.607e+000	1.019e+022	8.754e+022	1.445e+022	1.167e+023	4.605e-009	1.021e-008	4.183e-010	5.887e-009	7.502e-010	1.251e-009	2.225e-010	7.834e-010	2.202e-010	4.648e-010	5.626e-010	8.933e-010	1.534e-009	1.190e-008	6.988e-010	2.485e-011	5.508e-009	7.323e-009	6.813e-010	
610.00	6.206e+007	8.641e+000	1.017e+022	8.777e+022	1.444e+022	1.170e+023	4.600e-009	1.020e-008	4.189e-010	5.883e-009	7.499e-010	1.250e-009	2.225e-010	7.828e-010	2.202e-010	4.646e-010	5.611e-010	8.896e-010	1.537e-009	1.197e-008	7.037e-010	2.475e-011	5.564e-009	7.392e-009	6.908e-010	
615.00	6.248e+007	8.675e+000	1.016e+022	8.799e+022	1.443e+022	1.173e+023	4.596e-009	1.018e-008	4.194e-010	5.878e-009	7.496e-010	1.249e-009	2.225e-010	7.822e-010	2.201e-010	4.643e-010	5.596e-010	8.860e-010	1.539e-009	1.203e-008	7.085e-010	2.466e-011	5.620e-009	7.460e-009	7.003e-010	
620.00	6.291e+007	8.709e+000	1.015e+022	8.820e+022	1.442e+022	1.176e+023	4.591e-009	1.016e-008	4.199e-010	5.873e-009	7.493e-010	1.248e-009	2.224e-010	7.816e-010	2.200e-010	4.641e-010	5.582e-010	8.825e-010	1.542e-009	1.210e-008	7.132e-010	2.457e-011	5.676e-009	7.527e-009	7.096e-010	
625.00	6.333e+007	8.742e+000	1.013e+022	8.842e+022	1.440e+022	1.179e+023	4.587e-009	1.014e-008	4.203e-010	5.869e-009	7.490e-010	1.247e-009	2.224e-010	7.810e-010	2.199e-010	4.638e-010	5.567e-010	8.789e-010	1.545e-009	1.216e-008	7.179e-010	2.447e-011	5.731e-009	7.594e-009	7.189e-010	
630.00	6.375e+007	8.775e+000	1.012e+022	8.863e+022	1.439e+022	1.181e+023	4.583e-009	1.012e-008	4.208e-010	5.864e-009	7.487e-010	1.246e-009	2.224e-010	7.804e-010	2.199e-010	4.636e-010	5.553e-010	8.755e-010	1.547e-009	1.223e-008	7.226e-010	2.438e-011	5.786e-009	7.660e-009	7.281e-010	
635.00	6.417e+007	8.808e+000	1.011e+022	8.885e+022	1.438e+022	1.184e+023	4.579e-009	1.011e-008	4.213e-010	5.860e-009	7.484e-010	1.245e-009	2.223e-010	7.798e-010	2.198e-010	4.634e-010	5.539e-010	8.720e-010	1.550e-009	1.229e-008	7.272e-010	2.430e-011	5.840e-009	7.726e-009	7.373e-010	
640.00	6.459e+007	8.840e+000	1.009e+022	8.906e+022	1.437e+022	1.187e+023	4.574e-009	1.009e-008	4.218e-010	5.856e-009	7.482e-010	1.244e-009	2.223e-010	7.792e-010	2.197e-010	4.631e-010	5.525e-010	8.687e-010	1.553e-009	1.236e-008	7.318e-010	2.421e-011	5.893e-009	7.791e-009	7.464e-010	
645.00	6.501e+007	8.872e+000	1.008e+022	8.926e+022	1.436e+022	1.190e+023	4.570e-009	1.007e-008	4.222e-010	5.851e-009	7.479e-010	1.243e-009	2.223e-010	7.786e-010	2.197e-010	4.629e-010	5.512e-010	8.653e-010	1.555e-009	1.242e-008	7.363e-010	2.412e-011	5.946e-009	7.855e-009	7.554e-010	
650.00	6.543e+007	8.904e+000	1.007e+022	8.947e+022	1.435e+022	1.193e+023	4.566e-009	1.006e-008	4.227e-010	5.847e-009	7.476e-010	1.242e-009	2.222e-010	7.780e-010	2.196e-010	4.627e-010	5.498e-010	8.620e-010	1.558e-009	1.248e-008	7.407e-010	2.404e-011	5.999e-009	7.918e-009	7.643e-010	
655.00	6.585e+007	8.935e+000	1.005e+022	8.967e+022	1.434e+022	1.195e+023	4.562e-009	1.004e-008	4.231e-010	5.843e-009	7.473e-010	1.241e-009	2.222e-010	7.775e-010	2.195e-010	4.624e-010	5.485e-010	8.588e-010	1.560e-009	1.254e-008	7.451e-010	2.395e-011	6.051e-009	7.981e-009	7.732e-010	
660.00	6.626e+007	8.966e+000	1.004e+022	8.987e+022	1.433e+022	1.198e+023	4.558e-009	1.002e-008	4.236e-010	5.838e-009	7.470e-010	1.240e-009	2.222e-010	7.769e-010	2.195e-010	4.622e-010	5.472e-010	8.555e-010	1.563e-009	1.260e-008	7.495e-010	2.387e-011	6.102e-009	8.043e-009	7.820e-010	
665.00	6.668e+007	8.996e+000	1.003e+022	9.007e+022	1.432e+022	1.200e+023	4.554e-009	1.001e-008	4.240e-010	5.834e-009	7.468e-010	1.239e-009	2.222e-010	7.764e-010	2.194e-010	4.620e-010	5.459e-010	8.524e-010	1.565e-009	1.266e-008	7.538e-010	2.379e-011	6.153e-009	8.105e-009	7.907e-010	
670.00	6.710e+007	9.026e+000	1.001e+022	9.026e+022	1.431e+022	1.203e+023	4.551e-009	9.992e-009	4.244e-010	5.830e-009	7.465e-010	1.238e-009	2.221e-010	7.758e-010	2.194e-010	4.618e-010	5.446e-010	8.492e-010	1.567e-009	1.272e-008	7.580e-010	2.371e-011	6.203e-009	8.166e-009	7.994e-010	
